KEGG_ORG	KEGG_GENE	KEGG_EC	KEGG_UNIPROT
csh	csh:Closa_0490	ec:2.4.2.3	D9R414
csh	csh:Closa_0491	ec:2.4.2.3	D9R415
csh	csh:Closa_0494	ec:2.7.7.33	D9R418
csh	csh:Closa_0495	ec:4.2.1.45	D9R419
csh	csh:Closa_0496	ec:1.17.1.1	D9R420
csh	csh:Closa_0505	ec:3.4.21.92	D9R429
csh	csh:Closa_0507	ec:3.5.1.88	D9R431
csh	csh:Closa_1136	ec:1.5.1.5	D9R7M1
csh	csh:Closa_1136	ec:3.5.4.9	D9R7M1
csh	csh:Closa_1140	ec:6.3.2.12	D9R7M5
csh	csh:Closa_1140	ec:6.3.2.17	D9R7M5
csh	csh:Closa_1141	ec:3.6.1.1	D9R7M6
csh	csh:Closa_1142	ec:1.18.1.2	D9R7M7
csh	csh:Closa_1142	ec:1.19.1.1	D9R7M7
csh	csh:Closa_1143	ec:1.4.1.13	D9R7M8
csh	csh:Closa_0976	ec:3.2.1.122	D9R6T8
csh	csh:Closa_0977	ec:2.7.1.199	D9R6T9
csh	csh:Closa_0977	ec:2.7.1.208	D9R6T9
csh	csh:Closa_0980	ec:2.4.2.3	D9R6U2
csh	csh:Closa_1167	ec:6.3.1.20	D9R7P6
csh	csh:Closa_1168	ec:1.8.1.4	D9R7P7
csh	csh:Closa_1201	ec:7.5.2.7	D9R856
csh	csh:Closa_1215	ec:4.2.1.126	D9R870
csh	csh:Closa_0915	ec:2.7.9.1	D9R6M8
csh	csh:Closa_0920	ec:2.5.1.31	D9R6N3
csh	csh:Closa_0921	ec:1.2.7.4	D9R6N4
csh	csh:Closa_0922	ec:2.7.13.3	D9R6N5
csh	csh:Closa_0928	ec:3.2.1.24	D9R6P1
csh	csh:Closa_0929	ec:4.4.1.5	D9R6P2
csh	csh:Closa_0930	ec:2.2.1.2	D9R6P3
csh	csh:Closa_0934	ec:1.16.3.2	D9R6P7
csh	csh:Closa_0940	ec:2.7.2.4	D9R6Q3
csh	csh:Closa_0943	ec:4.4.1.13	D9R6Q6
csh	csh:Closa_0945	ec:3.2.1.70	D9R6Q8
csh	csh:Closa_0988	ec:6.1.1.18	D9R6V0
csh	csh:Closa_1001	ec:2.7.1.5	D9R6W3
csh	csh:Closa_1003	ec:5.3.1.14	D9R6W4
csh	csh:Closa_1004	ec:4.1.2.19	D9R6W5
csh	csh:Closa_1009	ec:1.1.1.205	D9R6X0
csh	csh:Closa_1017	ec:2.7.9.3	D9R6X8
csh	csh:Closa_1025	ec:1.2.5.3	D9R6Y6
csh	csh:Closa_1028	ec:2.4.1.1	D9R6Y9
csh	csh:Closa_1030	ec:2.7.2.2	D9R6Z1
csh	csh:Closa_1033	ec:4.3.1.15	D9R6Z4
csh	csh:Closa_1089	ec:2.7.7.7	D9R7H6
csh	csh:Closa_1090	ec:2.7.1.11	D9R7H7
csh	csh:Closa_1092	ec:1.1.1.58	D9R7H9
csh	csh:Closa_1093	ec:4.2.1.7	D9R7I0
csh	csh:Closa_1098	ec:6.1.1.6	D9R7I5
csh	csh:Closa_1102	ec:3.1.11.5	D9R7I9
csh	csh:Closa_1111	ec:6.5.1.2	D9R7J8
csh	csh:Closa_0950	ec:2.7.13.3	D9R6R3
csh	csh:Closa_0953	ec:2.3.1.79	D9R6R6
csh	csh:Closa_0958	ec:2.7.4.25	D9R6S1
csh	csh:Closa_0959	ec:1.17.7.4	D9R6S2
csh	csh:Closa_1036	ec:1.97.1.9	D9R6Z7
csh	csh:Closa_1037	ec:3.5.2.2	D9R6Z8
csh	csh:Closa_1041	ec:4.6.1.17	D9R7C9
csh	csh:Closa_1042	ec:4.1.99.22	D9R7D0
csh	csh:Closa_1046	ec:2.7.7.76	D9R7D4
csh	csh:Closa_1060	ec:4.2.99.18	D9R7E7
csh	csh:Closa_1072	ec:1.16.3.1	D9R7F9
csh	csh:Closa_1075	ec:3.5.4.5	D9R7G2
csh	csh:Closa_1076	ec:2.4.2.2	D9R7G3
csh	csh:Closa_1077	ec:4.1.2.4	D9R7G4
csh	csh:Closa_1079	ec:3.4.11.18	D9R7G6
csh	csh:Closa_1080	ec:3.2.2.20	D9R7G7
csh	csh:Closa_1085	ec:1.3.1.98	D9R7H2
csh	csh:Closa_1130	ec:1.6.5.2	D9R7L5
csh	csh:Closa_1133	ec:2.7.4.6	D9R7L8
csh	csh:Closa_1134	ec:4.4.1.5	D9R7L9
csh	csh:Closa_1135	ec:6.3.4.3	D9R7M0
csh	csh:Closa_0085	ec:3.6.1.1	D9R0S9
csh	csh:Closa_0090	ec:2.7.1.199	D9R0T4
csh	csh:Closa_0091	ec:5.1.3.9	D9R0T5
csh	csh:Closa_0108	ec:2.3.1.81	D9R0V2
csh	csh:Closa_0111	ec:6.3.2.8	D9R0V5
csh	csh:Closa_0147	ec:3.4.21.105	D9R0Z1
csh	csh:Closa_0150	ec:2.4.1.227	D9R1Q2
csh	csh:Closa_0157	ec:6.1.1.10	D9R1Q9
csh	csh:Closa_0160	ec:2.1.1.182	D9R1R2
csh	csh:Closa_0163	ec:4.2.1.53	D9R1R5
csh	csh:Closa_0169	ec:3.5.99.6	D9R1S1
csh	csh:Closa_0171	ec:1.97.1.4	D9R1S3
csh	csh:Closa_0174	ec:2.7.7.7	D9R1S6
csh	csh:Closa_0217	ec:1.1.1.6	D9R1W6
csh	csh:Closa_0222	ec:4.3.3.7	D9R1X1
csh	csh:Closa_0115	ec:2.7.6.1	D9R0V9
csh	csh:Closa_0119	ec:6.1.1.22	D9R0W3
csh	csh:Closa_0120	ec:2.7.7.27	D9R0W4
csh	csh:Closa_0121	ec:2.7.7.27	D9R0W5
csh	csh:Closa_0123	ec:1.4.1.16	D9R0W7
csh	csh:Closa_0126	ec:2.4.1.18	D9R0X0
csh	csh:Closa_0130	ec:3.4.23.43	D9R0X4
csh	csh:Closa_0132	ec:7.4.2.8	D9R0X6
csh	csh:Closa_1626	ec:3.5.1.28	D9RAE5
csh	csh:Closa_1608	ec:6.3.3.1	D9RAC7
csh	csh:Closa_1609	ec:2.1.2.2	D9RAC8
csh	csh:Closa_1610	ec:6.3.4.13	D9RAC9
csh	csh:Closa_1621	ec:4.2.1.8	D9RAE0
csh	csh:Closa_1622	ec:1.1.1.57	D9RAE1
csh	csh:Closa_2487	ec:1.17.99.6	D9R4U9
csh	csh:Closa_2490	ec:3.2.2.31	D9R4V2
csh	csh:Closa_2491	ec:6.3.4.15	D9R4V3
csh	csh:Closa_2493	ec:2.1.3.3	D9R4V5
csh	csh:Closa_2498	ec:6.3.5.1	D9R4W0
csh	csh:Closa_2634	ec:1.4.3.4	D9R5L6
csh	csh:Closa_1984	ec:3.4.11.4	D9R116
csh	csh:Closa_1985	ec:2.7.1.200	D9R117
csh	csh:Closa_1986	ec:2.7.1.200	D9R118
csh	csh:Closa_1990	ec:2.7.1.121	D9R122
csh	csh:Closa_1991	ec:2.7.1.121	D9R123
csh	csh:Closa_2005	ec:2.7.7.18	D9R137
csh	csh:Closa_2008	ec:3.4.21.88	D9R140
csh	csh:Closa_2013	ec:3.5.1.6	D9R145
csh	csh:Closa_2013	ec:3.5.1.87	D9R145
csh	csh:Closa_2018	ec:2.6.1.16	D9R150
csh	csh:Closa_2029	ec:5.4.99.23	D9R161
csh	csh:Closa_2030	ec:3.4.23.36	D9R162
csh	csh:Closa_2095	ec:1.1.1.94	D9R224
csh	csh:Closa_2096	ec:2.3.1.275	D9R225
csh	csh:Closa_2099	ec:2.7.6.1	D9R228
csh	csh:Closa_2102	ec:3.1.26.4	D9R231
csh	csh:Closa_2104	ec:3.4.21.89	D9R233
csh	csh:Closa_2106	ec:2.1.1.228	D9R235
csh	csh:Closa_2110	ec:3.6.5.4	D9R239
csh	csh:Closa_2113	ec:4.4.1.5	D9R242
csh	csh:Closa_2114	ec:6.1.1.11	D9R243
csh	csh:Closa_2115	ec:2.7.1.35	D9R244
csh	csh:Closa_2117	ec:2.7.6.2	D9R246
csh	csh:Closa_2118	ec:5.1.3.1	D9R247
csh	csh:Closa_2119	ec:3.1.3.100	D9R248
csh	csh:Closa_2122	ec:2.1.1.192	D9R251
csh	csh:Closa_2123	ec:2.1.1.176	D9R252
csh	csh:Closa_2125	ec:2.1.2.9	D9R254
csh	csh:Closa_2126	ec:3.5.1.88	D9R255
csh	csh:Closa_2129	ec:6.3.2.13	D9R258
csh	csh:Closa_2203	ec:4.2.1.33	D9R2D1
csh	csh:Closa_2203	ec:4.2.1.35	D9R2D1
csh	csh:Closa_2204	ec:4.2.1.33	D9R2D2
csh	csh:Closa_2204	ec:4.2.1.35	D9R2D2
csh	csh:Closa_2206	ec:1.1.1.86	D9R2D4
csh	csh:Closa_2207	ec:2.2.1.6	D9R2D5
csh	csh:Closa_2212	ec:3.1.13.1	D9R2E0
csh	csh:Closa_2214	ec:4.2.1.11	D9R2E2
csh	csh:Closa_2215	ec:6.1.1.20	D9R2E3
csh	csh:Closa_2216	ec:6.1.1.20	D9R2E4
csh	csh:Closa_1747	ec:3.6.4.12	D9QZ89
csh	csh:Closa_1757	ec:3.4.21.92	D9QZ95
csh	csh:Closa_1884	ec:2.7.1.24	D9R013
csh	csh:Closa_1894	ec:2.7.2.1	D9R023
csh	csh:Closa_1898	ec:4.1.2.4	D9R027
csh	csh:Closa_1899	ec:2.7.1.15	D9R028
csh	csh:Closa_1900	ec:5.4.99.62	D9R029
csh	csh:Closa_1901	ec:7.5.2.7	D9R030
csh	csh:Closa_2128	ec:6.3.2.10	D9R257
csh	csh:Closa_2130	ec:6.3.4.3	D9R259
csh	csh:Closa_2133	ec:2.3.3.1	D9R262
csh	csh:Closa_2134	ec:4.2.1.3	D9R263
csh	csh:Closa_2139	ec:3.6.1.15	D9R268
csh	csh:Closa_2146	ec:2.7.7.12	D9R275
csh	csh:Closa_2147	ec:2.5.1.30	D9R276
csh	csh:Closa_2227	ec:2.5.1.47	D9R356
csh	csh:Closa_2228	ec:3.4.17.19	D9R357
csh	csh:Closa_2237	ec:3.6.4.12	D9R366
csh	csh:Closa_2238	ec:3.6.4.12	D9R367
csh	csh:Closa_2316	ec:1.97.1.4	D9R3E0
csh	csh:Closa_2320	ec:6.1.1.19	D9R3E4
csh	csh:Closa_2322	ec:3.1.4.55	D9R3E6
csh	csh:Closa_2332	ec:4.2.1.10	D9R3F6
csh	csh:Closa_2341	ec:3.5.1.18	D9R3G5
csh	csh:Closa_2345	ec:4.1.1.36	D9R3G9
csh	csh:Closa_2345	ec:6.3.2.5	D9R3G9
csh	csh:Closa_2346	ec:2.7.1.33	D9R3H0
csh	csh:Closa_2352	ec:6.1.1.9	D9R455
csh	csh:Closa_1783	ec:2.7.13.3	D9QZB5
csh	csh:Closa_1910	ec:2.7.13.3	D9R038
csh	csh:Closa_1912	ec:7.5.2.7	D9R040
csh	csh:Closa_1915	ec:2.7.1.2	D9R043
csh	csh:Closa_1917	ec:2.3.1.274	D9R045
csh	csh:Closa_1919	ec:3.1.26.3	D9R047
csh	csh:Closa_1922	ec:4.3.1.19	D9R050
csh	csh:Closa_1925	ec:2.7.13.3	D9R053
csh	csh:Closa_2356	ec:1.1.1.38	D9R459
csh	csh:Closa_1939	ec:2.7.1.191	D9R067
csh	csh:Closa_1947	ec:2.7.4.8	D9R075
csh	csh:Closa_1948	ec:2.7.7.6	D9R076
csh	csh:Closa_1950	ec:2.7.8.5	D9R078
csh	csh:Closa_2175	ec:1.12.99.6	D9R2A3
csh	csh:Closa_2176	ec:1.12.99.6	D9R2A4
csh	csh:Closa_2271	ec:2.7.1.21	D9R399
csh	csh:Closa_1960	ec:3.6.4.12	D9R0Z2
csh	csh:Closa_1962	ec:2.7.1.48	D9R0Z4
csh	csh:Closa_1965	ec:2.7.7.3	D9R0Z7
csh	csh:Closa_1970	ec:5.4.99.19	D9R102
csh	csh:Closa_2031	ec:4.2.3.4	D9R163
csh	csh:Closa_2036	ec:3.4.16.4	D9R168
csh	csh:Closa_2037	ec:4.2.3.3	D9R169
csh	csh:Closa_2042	ec:3.4.16.4	D9R174
csh	csh:Closa_2049	ec:2.5.1.75	D9R181
csh	csh:Closa_2052	ec:2.8.4.3	D9R184
csh	csh:Closa_2055	ec:3.2.1.86	D9R187
csh	csh:Closa_2059	ec:1.2.1.41	D9R191
csh	csh:Closa_2062	ec:2.7.2.11	D9R194
csh	csh:Closa_2073	ec:6.1.1.7	D9R1A5
csh	csh:Closa_2076	ec:3.1.26.4	D9R1A8
csh	csh:Closa_2080	ec:2.7.1.53	D9R1B2
csh	csh:Closa_2149	ec:2.7.13.3	D9R278
csh	csh:Closa_2152	ec:3.4.13.19	D9R281
csh	csh:Closa_2651	ec:2.7.13.3	D9R5N1
csh	csh:Closa_2672	ec:2.1.1.199	D9R5P8
csh	csh:Closa_2675	ec:4.2.1.53	D9R5Q1
csh	csh:Closa_2676	ec:1.1.1.69	D9R5Q2
csh	csh:Closa_1219	ec:2.6.1.21	D9R873
csh	csh:Closa_1232	ec:4.1.2.13	D9R886
csh	csh:Closa_1234	ec:2.7.1.202	D9R888
csh	csh:Closa_1241	ec:1.15.1.1	D9R892
csh	csh:Closa_2597	ec:4.2.2.1	D9R556
csh	csh:Closa_2599	ec:2.3.1.267	D9R558
csh	csh:Closa_2600	ec:1.1.1.25	D9R559
csh	csh:Closa_2608	ec:3.5.1.28	D9R567
csh	csh:Closa_1511	ec:2.7.1.196	D9R9Q9
csh	csh:Closa_1511	ec:2.7.1.205	D9R9Q9
csh	csh:Closa_1512	ec:2.7.1.196	D9R9R0
csh	csh:Closa_1512	ec:2.7.1.205	D9R9R0
csh	csh:Closa_1516	ec:3.5.1.18	D9R9R4
csh	csh:Closa_1640	ec:3.6.1.27	D9RAF8
csh	csh:Closa_1645	ec:7.2.1.2	D9RAG3
csh	csh:Closa_1646	ec:7.2.1.2	D9RAG4
csh	csh:Closa_1651	ec:5.3.1.12	D9RAG9
csh	csh:Closa_1829	ec:2.8.3.12	D9QZG1
csh	csh:Closa_1830	ec:1.1.1.1	D9QZG2
csh	csh:Closa_1831	ec:2.7.1.121	D9QZG3
csh	csh:Closa_1832	ec:2.7.1.121	D9QZW4
csh	csh:Closa_1844	ec:5.6.2.1	D9QZX6
csh	csh:Closa_1854	ec:2.7.4.22	D9QZY6
csh	csh:Closa_1975	ec:5.4.99.24	D9R107
csh	csh:Closa_1978	ec:2.4.2.17	D9R110
csh	csh:Closa_1979	ec:1.1.1.23	D9R111
csh	csh:Closa_1980	ec:4.2.1.19	D9R112
csh	csh:Closa_1981	ec:5.3.1.16	D9R113
csh	csh:Closa_1982	ec:3.6.1.31	D9R114
csh	csh:Closa_1982	ec:3.5.4.19	D9R114
csh	csh:Closa_1251	ec:2.7.3.9	D9R8A2
csh	csh:Closa_1254	ec:3.2.1.122	D9R8A5
csh	csh:Closa_1258	ec:6.3.2.4	D9R8A9
csh	csh:Closa_1259	ec:5.1.1.7	D9R8B0
csh	csh:Closa_1328	ec:7.2.4.2	D9R8V6
csh	csh:Closa_1348	ec:6.3.5.3	D9R8X6
csh	csh:Closa_1309	ec:6.1.1.17	D9R8T7
csh	csh:Closa_1310	ec:3.6.4.12	D9R8T8
csh	csh:Closa_1317	ec:5.4.99.23	D9R8U5
