Batch	Plate	Well	No	Extraction	Species_name	Incubated	Drug	Concentration	Replicate	Drug_measured	Intensity	IntensityNorm	Standard	StandardIntensity
Batch 3	Plate 1	C10	1	supernatant	L. lactis	Yes	Duloxetine	0	2	Duloxetine	0	0	Sulfamethazine_IS	2976510
Batch 3	Plate 1	C11	1	supernatant	L. lactis	Yes	Duloxetine	0	3	Duloxetine	0	0	Sulfamethazine_IS	2884996
Batch 3	Plate 1	C12	1	supernatant	L. lactis	Yes	Duloxetine	0	4	Duloxetine	0	0	Sulfamethazine_IS	2821897
Batch 3	Plate 1	D01	2	total	L. lactis	Yes	Duloxetine	10	1	Duloxetine	34526.64951	0.011795892973912593	Sulfamethazine_IS	2927006
Batch 3	Plate 1	D02	2	total	L. lactis	Yes	Duloxetine	10	2	Duloxetine	33055.43846	0.011003840710574697	Sulfamethazine_IS	3003991
Batch 3	Plate 1	D03	2	total	L. lactis	Yes	Duloxetine	10	3	Duloxetine	35030.04291	0.011727095754649235	Sulfamethazine_IS	2987103
Batch 3	Plate 1	D04	2	total	L. lactis	Yes	Duloxetine	10	4	Duloxetine	33143.9136	0.011037478237355687	Sulfamethazine_IS	3002852
Batch 3	Plate 1	D05	2	supernatant	L. lactis	Yes	Duloxetine	10	1	Duloxetine	16401.69117	0.005416197174819789	Sulfamethazine_IS	3028267
Batch 3	Plate 1	D06	2	supernatant	L. lactis	Yes	Duloxetine	10	2	Duloxetine	18524.21262	0.006127616171640087	Sulfamethazine_IS	3023070
Batch 3	Plate 1	D07	2	supernatant	L. lactis	Yes	Duloxetine	10	3	Duloxetine	25044.69001	0.008223390708980302	Sulfamethazine_IS	3045543
Batch 3	Plate 1	D08	2	supernatant	L. lactis	Yes	Duloxetine	10	4	Duloxetine	26579.43659	0.008606472084390547	Sulfamethazine_IS	3088308
Batch 3	Plate 1	D09	3	total	L. lactis	Yes	Duloxetine	20	1	Duloxetine	129920.9631	0.04231619628029321	Sulfamethazine_IS	3070242
Batch 3	Plate 1	D10	3	total	L. lactis	Yes	Duloxetine	20	2	Duloxetine	129157.8376	0.043313634935331954	Sulfamethazine_IS	2981921
Batch 3	Plate 1	D11	3	total	L. lactis	Yes	Duloxetine	20	3	Duloxetine	133368.5015	0.04411133416373073	Sulfamethazine_IS	3023452
Batch 3	Plate 1	D12	3	total	L. lactis	Yes	Duloxetine	20	4	Duloxetine	117405.9185	0.04205275832846205	Sulfamethazine_IS	2791872
Batch 3	Plate 1	E01	3	supernatant	L. lactis	Yes	Duloxetine	20	1	Duloxetine	141092.961	0.048056578459769426	Sulfamethazine_IS	2935976
Batch 3	Plate 1	E02	3	supernatant	L. lactis	Yes	Duloxetine	20	2	Duloxetine	150099.5151	0.051393506421469885	Sulfamethazine_IS	2920593
Batch 3	Plate 1	E03	3	supernatant	L. lactis	Yes	Duloxetine	20	3	Duloxetine	135187.2152	0.04572129464377816	Sulfamethazine_IS	2956767
Batch 3	Plate 1	E04	3	supernatant	L. lactis	Yes	Duloxetine	20	4	Duloxetine	155905.4878	0.052840093271852545	Sulfamethazine_IS	2950515
Batch 3	Plate 1	E05	4	total	L. lactis	Yes	Duloxetine	30	1	Duloxetine	224025.9098	0.07368803102696736	Sulfamethazine_IS	3040194
Batch 3	Plate 1	E06	4	total	L. lactis	Yes	Duloxetine	30	2	Duloxetine	222626.8687	0.07185167057564444	Sulfamethazine_IS	3098423
Batch 3	Plate 1	E07	4	total	L. lactis	Yes	Duloxetine	30	3	Duloxetine	245463.847	0.08125146580365232	Sulfamethazine_IS	3021039
Batch 3	Plate 1	E08	4	total	L. lactis	Yes	Duloxetine	30	4	Duloxetine	216620.8065	0.07126849570472542	Sulfamethazine_IS	3039503
Batch 3	Plate 1	E09	4	supernatant	L. lactis	Yes	Duloxetine	30	1	Duloxetine	232024.6752	0.07566119883507189	Sulfamethazine_IS	3066627
Batch 3	Plate 1	E10	4	supernatant	L. lactis	Yes	Duloxetine	30	2	Duloxetine	212539.5101	0.07073561350323145	Sulfamethazine_IS	3004703
Batch 3	Plate 1	E11	4	supernatant	L. lactis	Yes	Duloxetine	30	3	Duloxetine	205418.5244	0.0670921958954645	Sulfamethazine_IS	3061735
Batch 3	Plate 1	E12	4	supernatant	L. lactis	Yes	Duloxetine	30	4	Duloxetine	222030.0214	0.07477654145983813	Sulfamethazine_IS	2969247
Batch 3	Plate 1	F01	5	total	L. lactis	Yes	Duloxetine	40	1	Duloxetine	299295.8521	0.10200625954937352	Sulfamethazine_IS	2934093
Batch 3	Plate 1	F02	5	total	L. lactis	Yes	Duloxetine	40	2	Duloxetine	306867.4459	0.10012579728199283	Sulfamethazine_IS	3064819
Batch 3	Plate 1	F03	5	total	L. lactis	Yes	Duloxetine	40	3	Duloxetine	314181.2427	0.1009357653280046	Sulfamethazine_IS	3112685
Batch 3	Plate 1	F04	5	total	L. lactis	Yes	Duloxetine	40	4	Duloxetine	312901.3516	0.10242581905112005	Sulfamethazine_IS	3054907
Batch 3	Plate 1	F05	5	supernatant	L. lactis	Yes	Duloxetine	40	1	Duloxetine	331342.011	0.11029178881384287	Sulfamethazine_IS	3004231
Batch 3	Plate 1	F06	5	supernatant	L. lactis	Yes	Duloxetine	40	2	Duloxetine	345243.8954	0.11136594493376793	Sulfamethazine_IS	3100085
Batch 3	Plate 1	F07	5	supernatant	L. lactis	Yes	Duloxetine	40	3	Duloxetine	293220.6416	0.09494364869437387	Sulfamethazine_IS	3088365
Batch 3	Plate 1	F08	5	supernatant	L. lactis	Yes	Duloxetine	40	4	Duloxetine	308021.9007	0.10093595076379816	Sulfamethazine_IS	3051657
Batch 3	Plate 1	F09	6	total	L. lactis	Yes	Duloxetine	50	1	Duloxetine	110593.9757	0.035798785526403525	Sulfamethazine_IS	3089322
Batch 3	Plate 1	F10	6	total	L. lactis	Yes	Duloxetine	50	2	Duloxetine	82937.24543	0.02723271890658348	Sulfamethazine_IS	3045500
Batch 3	Plate 1	F11	6	total	L. lactis	Yes	Duloxetine	50	3	Duloxetine	299691.7552	0.09981114798300667	Sulfamethazine_IS	3002588
Batch 3	Plate 1	F12	6	total	L. lactis	Yes	Duloxetine	50	4	Duloxetine	159472.3494	0.07364040599292099	Sulfamethazine_IS	2165555
Batch 3	Plate 1	G01	6	supernatant	L. lactis	Yes	Duloxetine	50	1	Duloxetine	324805.8647	0.11130643386176661	Sulfamethazine_IS	2918123
Batch 3	Plate 1	G02	6	supernatant	L. lactis	Yes	Duloxetine	50	2	Duloxetine	330122.5178	0.10904478782639773	Sulfamethazine_IS	3027403
Batch 3	Plate 1	G03	6	supernatant	L. lactis	Yes	Duloxetine	50	3	Duloxetine	353379.5642	0.11706581911059286	Sulfamethazine_IS	3018640
Batch 3	Plate 1	G04	6	supernatant	L. lactis	Yes	Duloxetine	50	4	Duloxetine	345067.384	0.11348907264316072	Sulfamethazine_IS	3040534
Batch 3	Plate 1	G05	7	total	L. lactis	Yes	Duloxetine	70	1	Duloxetine	474968.4398	0.15418094768179222	Sulfamethazine_IS	3080591
Batch 3	Plate 1	G06	7	total	L. lactis	Yes	Duloxetine	70	2	Duloxetine	478992.0692	0.15084839271368156	Sulfamethazine_IS	3175321
Batch 3	Plate 1	G07	7	total	L. lactis	Yes	Duloxetine	70	3	Duloxetine	486020.0611	0.14909226531437997	Sulfamethazine_IS	3259861
Batch 3	Plate 1	G08	7	total	L. lactis	Yes	Duloxetine	70	4	Duloxetine	472323.4718	0.15356367448589775	Sulfamethazine_IS	3075750
Batch 3	Plate 1	G09	7	supernatant	L. lactis	Yes	Duloxetine	70	1	Duloxetine	413117.9395	0.1331783595369424	Sulfamethazine_IS	3101990
Batch 3	Plate 1	G10	7	supernatant	L. lactis	Yes	Duloxetine	70	2	Duloxetine	459317.4895	0.14694684664970428	Sulfamethazine_IS	3125739
Batch 3	Plate 1	G11	7	supernatant	L. lactis	Yes	Duloxetine	70	3	Duloxetine	344109.7254	0.20014420060617374	Sulfamethazine_IS	1719309
Batch 3	Plate 1	G12	7	supernatant	L. lactis	Yes	Duloxetine	70	4	Duloxetine	534521.9837	0.17773280250657783	Sulfamethazine_IS	3007447
Batch 3	Plate 1	H01	8	total	Escherichia coli ED1a	Yes	Duloxetine	0	1	Duloxetine	0	0	Sulfamethazine_IS	3148713
Batch 3	Plate 1	H02	8	total	Escherichia coli ED1a	Yes	Duloxetine	0	2	Duloxetine	0	0	Sulfamethazine_IS	3017304
Batch 3	Plate 1	H03	8	total	Escherichia coli ED1a	Yes	Duloxetine	0	3	Duloxetine	0	0	Sulfamethazine_IS	3059371
Batch 3	Plate 1	H04	8	total	Escherichia coli ED1a	Yes	Duloxetine	0	4	Duloxetine	0	0	Sulfamethazine_IS	3123320
Batch 3	Plate 1	H05	8	supernatant	Escherichia coli ED1a	Yes	Duloxetine	0	1	Duloxetine	0	0	Sulfamethazine_IS	3156993
Batch 3	Plate 1	H06	8	supernatant	Escherichia coli ED1a	Yes	Duloxetine	0	2	Duloxetine	0	0	Sulfamethazine_IS	3129247
Batch 3	Plate 1	H07	8	supernatant	Escherichia coli ED1a	Yes	Duloxetine	0	3	Duloxetine	0	0	Sulfamethazine_IS	3219628
Batch 3	Plate 1	H08	8	supernatant	Escherichia coli ED1a	Yes	Duloxetine	0	4	Duloxetine	0	0	Sulfamethazine_IS	3074984
Batch 3	Plate 1	H09	9	total	Escherichia coli ED1a	Yes	Duloxetine	10	1	Duloxetine	29846.616	0.009340892020189881	Sulfamethazine_IS	3195264
Batch 3	Plate 1	H10	9	total	Escherichia coli ED1a	Yes	Duloxetine	10	2	Duloxetine	21299.09779	0.007095645284660697	Sulfamethazine_IS	3001714
Batch 3	Plate 1	H11	9	total	Escherichia coli ED1a	Yes	Duloxetine	10	3	Duloxetine	29216.15742	0.00985786125108056	Sulfamethazine_IS	2963742
Batch 3	Plate 1	H12	9	total	Escherichia coli ED1a	Yes	Duloxetine	10	4	Duloxetine	10294.49873	0.0035551881267856665	Sulfamethazine_IS	2895627
Batch 3	Plate 2	A01	9	supernatant	Escherichia coli ED1a	Yes	Duloxetine	10	1	Duloxetine	17308.95591	0.0057208417482043205	Sulfamethazine_IS	3025596
Batch 3	Plate 2	A02	9	supernatant	Escherichia coli ED1a	Yes	Duloxetine	10	2	Duloxetine	19762.61202	0.006719024163530857	Sulfamethazine_IS	2941292
Batch 3	Plate 2	A03	9	supernatant	Escherichia coli ED1a	Yes	Duloxetine	10	3	Duloxetine	7333.400733	0.0024524750595611537	Sulfamethazine_IS	2990204
Batch 3	Plate 2	A04	9	supernatant	Escherichia coli ED1a	Yes	Duloxetine	10	4	Duloxetine	14224.73352	0.004702063267653066	Sulfamethazine_IS	3025211
Batch 3	Plate 2	A05	10	total	Escherichia coli ED1a	Yes	Duloxetine	20	1	Duloxetine	105957.6871	0.033848965373375395	Sulfamethazine_IS	3130308
Batch 3	Plate 2	A06	10	total	Escherichia coli ED1a	Yes	Duloxetine	20	2	Duloxetine	84346.15757	0.027436693514756635	Sulfamethazine_IS	3074210
Batch 3	Plate 2	A07	10	total	Escherichia coli ED1a	Yes	Duloxetine	20	3	Duloxetine	124513.7994	0.040498390294213406	Sulfamethazine_IS	3074537
Batch 3	Plate 2	A08	10	total	Escherichia coli ED1a	Yes	Duloxetine	20	4	Duloxetine	97123.31307	0.01765089584872797	Sulfamethazine_IS	5502458
Batch 3	Plate 2	A09	10	supernatant	Escherichia coli ED1a	Yes	Duloxetine	20	1	Duloxetine	56303.44231	0.017348210073055224	Sulfamethazine_IS	3245490
Batch 3	Plate 2	A10	10	supernatant	Escherichia coli ED1a	Yes	Duloxetine	20	2	Duloxetine	22144.97616	0.007237173378284795	Sulfamethazine_IS	3059893
Batch 3	Plate 2	A11	10	supernatant	Escherichia coli ED1a	Yes	Duloxetine	20	3	Duloxetine	42974.94965	0.012854297348437264	Sulfamethazine_IS	3343236
Batch 3	Plate 2	A12	10	supernatant	Escherichia coli ED1a	Yes	Duloxetine	20	4	Duloxetine	143088.0257	0.04185779494809316	Sulfamethazine_IS	3418432
Batch 3	Plate 2	B01	11	total	Escherichia coli ED1a	Yes	Duloxetine	30	1	Duloxetine	47979.62007	0.016550586301746	Sulfamethazine_IS	2898968
Batch 3	Plate 2	B02	11	total	Escherichia coli ED1a	Yes	Duloxetine	30	2	Duloxetine	24738.14011	0.008203767221661962	Sulfamethazine_IS	3015461
Batch 3	Plate 2	B03	11	total	Escherichia coli ED1a	Yes	Duloxetine	30	3	Duloxetine	92453.28443	0.0307558908761874	Sulfamethazine_IS	3006035
Batch 3	Plate 2	B04	11	total	Escherichia coli ED1a	Yes	Duloxetine	30	4	Duloxetine	160422.6459	0.055912503672661075	Sulfamethazine_IS	2869173
Batch 3	Plate 2	B05	11	supernatant	Escherichia coli ED1a	Yes	Duloxetine	30	1	Duloxetine	188602.3504	0.06157221697700505	Sulfamethazine_IS	3063108
Batch 3	Plate 2	B06	11	supernatant	Escherichia coli ED1a	Yes	Duloxetine	30	2	Duloxetine	220179.2142	0.06476413545982906	Sulfamethazine_IS	3399709
Batch 3	Plate 2	B07	11	supernatant	Escherichia coli ED1a	Yes	Duloxetine	30	3	Duloxetine	42708.92909	0.013784624316803202	Sulfamethazine_IS	3098302
Batch 3	Plate 2	B08	11	supernatant	Escherichia coli ED1a	Yes	Duloxetine	30	4	Duloxetine	35413.78995	0.01799402564217214	Sulfamethazine_IS	1968086
Batch 3	Plate 2	B09	12	total	Escherichia coli ED1a	Yes	Duloxetine	40	1	Duloxetine	178635.1032	0.056243060557716995	Sulfamethazine_IS	3176127
Batch 3	Plate 2	B10	12	total	Escherichia coli ED1a	Yes	Duloxetine	40	2	Duloxetine	176101.3337	0.0534269223837996	Sulfamethazine_IS	3296116
Batch 3	Plate 2	B11	12	total	Escherichia coli ED1a	Yes	Duloxetine	40	3	Duloxetine	219549.1109	0.062475221353266296	Sulfamethazine_IS	3514179
Batch 3	Plate 2	B12	12	total	Escherichia coli ED1a	Yes	Duloxetine	40	4	Duloxetine	186421.7746	0.054420467704465986	Sulfamethazine_IS	3425582
Batch 3	Plate 2	C01	12	supernatant	Escherichia coli ED1a	Yes	Duloxetine	40	1	Duloxetine	181117.8211	0.059200012649448165	Sulfamethazine_IS	3059422
Batch 3	Plate 2	C02	12	supernatant	Escherichia coli ED1a	Yes	Duloxetine	40	2	Duloxetine	82804.79948	0.026711492753637215	Sulfamethazine_IS	3099969
Batch 3	Plate 2	C03	12	supernatant	Escherichia coli ED1a	Yes	Duloxetine	40	3	Duloxetine	174933.7743	0.11638888491168727	Sulfamethazine_IS	1503011
Batch 3	Plate 2	C04	12	supernatant	Escherichia coli ED1a	Yes	Duloxetine	40	4	Duloxetine	290034.2412	0.1581824048849686	Sulfamethazine_IS	1833543
Batch 3	Plate 2	C05	13	total	Escherichia coli ED1a	Yes	Duloxetine	50	1	Duloxetine	318106.2601	0.10101208885459437	Sulfamethazine_IS	3149190
Batch 3	Plate 2	C06	13	total	Escherichia coli ED1a	Yes	Duloxetine	50	2	Duloxetine	341553.1244	0.10886956916987353	Sulfamethazine_IS	3137269
Batch 3	Plate 2	C07	13	total	Escherichia coli ED1a	Yes	Duloxetine	50	3	Duloxetine	367315.8144	0.20757853053386582	Sulfamethazine_IS	1769527
Batch 3	Plate 2	C08	13	total	Escherichia coli ED1a	Yes	Duloxetine	50	4	Duloxetine	332868.6827	0.16510352439164117	Sulfamethazine_IS	2016121
Batch 3	Plate 2	C09	13	supernatant	Escherichia coli ED1a	Yes	Duloxetine	50	1	Duloxetine	148755.0932	0.04316226954676091	Sulfamethazine_IS	3446415
Batch 3	Plate 2	C10	13	supernatant	Escherichia coli ED1a	Yes	Duloxetine	50	2	Duloxetine	103897.9416	0.03267601812658607	Sulfamethazine_IS	3179639
Batch 3	Plate 2	C11	13	supernatant	Escherichia coli ED1a	Yes	Duloxetine	50	3	Duloxetine	159934.1962	0.04866047882748148	Sulfamethazine_IS	3286737
Batch 3	Plate 2	C12	13	supernatant	Escherichia coli ED1a	Yes	Duloxetine	50	4	Duloxetine	245363	0.06088055389312189	Sulfamethazine_IS	4030236
Batch 3	Plate 2	D01	14	total	Escherichia coli ED1a	Yes	Duloxetine	70	1	Duloxetine	157656.3585	0.04948234996687186	Sulfamethazine_IS	3186113
Batch 3	Plate 2	D02	14	total	Escherichia coli ED1a	Yes	Duloxetine	70	2	Duloxetine	478366.4715	0.2466639362774545	Sulfamethazine_IS	1939345
Batch 3	Plate 2	D03	14	total	Escherichia coli ED1a	Yes	Duloxetine	70	3	Duloxetine	238153.3938	0.2535993706693586	Sulfamethazine_IS	939093
Batch 3	Plate 2	D04	14	total	Escherichia coli ED1a	Yes	Duloxetine	70	4	Duloxetine	222013.7731	0.22272448693781857	Sulfamethazine_IS	996809
Batch 3	Plate 2	D05	14	supernatant	Escherichia coli ED1a	Yes	Duloxetine	70	1	Duloxetine	251853.3657	0.24493564818822008	Sulfamethazine_IS	1028243
Batch 3	Plate 2	D06	14	supernatant	Escherichia coli ED1a	Yes	Duloxetine	70	2	Duloxetine	479344.5939	0.19931350469734027	Sulfamethazine_IS	2404978
Batch 3	Plate 2	D07	14	supernatant	Escherichia coli ED1a	Yes	Duloxetine	70	3	Duloxetine	240697.5792	0.20983522425220932	Sulfamethazine_IS	1147079
Batch 3	Plate 2	D08	14	supernatant	Escherichia coli ED1a	Yes	Duloxetine	70	4	Duloxetine	243603.9099	0.21864866335647237	Sulfamethazine_IS	1114134
Batch 3	Plate 2	D09	15	total	Clostridium saccharolyticum	Yes	Duloxetine	0	1	Duloxetine	0	0	Sulfamethazine_IS	1152130
Batch 3	Plate 2	D10	15	total	Clostridium saccharolyticum	Yes	Duloxetine	0	2	Duloxetine	0	0	Sulfamethazine_IS	1246519
Batch 3	Plate 2	D11	15	total	Clostridium saccharolyticum	Yes	Duloxetine	0	3	Duloxetine	0	0	Sulfamethazine_IS	1126416
Batch 3	Plate 2	D12	15	total	Clostridium saccharolyticum	Yes	Duloxetine	0	4	Duloxetine	0	0	Sulfamethazine_IS	1264146
Batch 3	Plate 2	E01	15	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	0	1	Duloxetine	0	0	Sulfamethazine_IS	1159693
Batch 3	Plate 2	E02	15	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	0	2	Duloxetine	0	0	Sulfamethazine_IS	1301145
Batch 3	Plate 2	E03	15	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	0	3	Duloxetine	0	0	Sulfamethazine_IS	1464115
Batch 3	Plate 2	E04	15	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	0	4	Duloxetine	0	0	Sulfamethazine_IS	1541680
Batch 3	Plate 2	E05	16	total	Clostridium saccharolyticum	Yes	Duloxetine	10	1	Duloxetine	3341.527658	0.0025628946380224114	Sulfamethazine_IS	1303810
Batch 3	Plate 2	E06	16	total	Clostridium saccharolyticum	Yes	Duloxetine	10	2	Duloxetine	4173.534383	0.0032928488000353467	Sulfamethazine_IS	1267454
Batch 3	Plate 2	E07	16	total	Clostridium saccharolyticum	Yes	Duloxetine	10	3	Duloxetine	6525.579485	0.004837951889450939	Sulfamethazine_IS	1348831
Batch 3	Plate 2	E08	16	total	Clostridium saccharolyticum	Yes	Duloxetine	10	4	Duloxetine	5409.62708	0.003293646768868083	Sulfamethazine_IS	1642443
Batch 3	Plate 2	E09	16	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	10	1	Duloxetine	1106.721008	8.172495742880309e-4	Sulfamethazine_IS	1354202
Batch 3	Plate 2	E10	16	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	10	2	Duloxetine	1252.541632	6.523664526559156e-4	Sulfamethazine_IS	1919997
Batch 3	Plate 2	E11	16	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	10	3	Duloxetine			Sulfamethazine_IS	2103117
Batch 3	Plate 2	E12	16	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	10	4	Duloxetine	3692.119261	0.0016352874332308726	Sulfamethazine_IS	2257780
Batch 3	Plate 2	F01	17	total	Clostridium saccharolyticum	Yes	Duloxetine	20	1	Duloxetine	28430.50941	0.01907932940345113	Sulfamethazine_IS	1490121
Batch 3	Plate 2	F02	17	total	Clostridium saccharolyticum	Yes	Duloxetine	20	2	Duloxetine	32195.84722	0.014600344385828946	Sulfamethazine_IS	2205143
Batch 3	Plate 2	F03	17	total	Clostridium saccharolyticum	Yes	Duloxetine	20	3	Duloxetine	42543.63932	0.023755637890965704	Sulfamethazine_IS	1790886
Batch 3	Plate 2	F04	17	total	Clostridium saccharolyticum	Yes	Duloxetine	20	4	Duloxetine	43368.69696	0.018074605712113768	Sulfamethazine_IS	2399427
Batch 3	Plate 2	F05	17	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	20	1	Duloxetine	25096.63911	0.012243612764138876	Sulfamethazine_IS	2049774
Batch 3	Plate 2	F06	17	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	20	2	Duloxetine	23140.13676	0.009514639778031428	Sulfamethazine_IS	2432056
Batch 3	Plate 2	F07	17	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	20	3	Duloxetine	14341.5292	0.006476731053743007	Sulfamethazine_IS	2214316
Batch 3	Plate 2	F08	17	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	20	4	Duloxetine	21757.03558	0.00841501402048809	Sulfamethazine_IS	2585502
Batch 3	Plate 2	F09	18	total	Clostridium saccharolyticum	Yes	Duloxetine	30	1	Duloxetine	104487.9599	0.03872826191624317	Sulfamethazine_IS	2697977
Batch 3	Plate 2	F10	18	total	Clostridium saccharolyticum	Yes	Duloxetine	30	2	Duloxetine	99772.09767	0.03889283379227758	Sulfamethazine_IS	2565308
Batch 3	Plate 2	F11	18	total	Clostridium saccharolyticum	Yes	Duloxetine	30	3	Duloxetine	85485.50021	0.037097719908537524	Sulfamethazine_IS	2304333
Batch 3	Plate 2	F12	18	total	Clostridium saccharolyticum	Yes	Duloxetine	30	4	Duloxetine	77845.47141	0.03485361142476957	Sulfamethazine_IS	2233498
Batch 3	Plate 2	G01	18	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	30	1	Duloxetine	51475.0639	0.021004391799667115	Sulfamethazine_IS	2450681
Batch 3	Plate 2	G02	18	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	30	2	Duloxetine	49276.12654	0.019430082300437603	Sulfamethazine_IS	2536074
Batch 3	Plate 2	G03	18	supernatant	Clostridium saccharolyticum	Yes	Duloxetine	30	3	Duloxetine	59568.76166	0.022121396391578764	Sulfamethazine_IS	2692812
