title	family	genus	cluster	taxid
unclassified Lachnospiraceae [Cluster1614]	Lachnospiraceae	undef	Cluster1614	552395,658088
Enterobacter hormaechei/cloacae [Cluster384]	Enterobacteriaceae	Enterobacter	Cluster384	718254,888063
Phascolarctobacterium succinatutens [Cluster1659]	Acidaminococcaceae	Phascolarctobacterium	Cluster1659	626939
Eubacterium cylindroides [Cluster1276]	Erysipelotrichaceae	undef	Cluster1276	717960
Acidaminococcus intestini [Cluster1657]	Acidaminococcaceae	Acidaminococcus	Cluster1657	563191,568816
Blautia hansenii [Cluster1617]	Lachnospiraceae	NA	Cluster1617	537007,658083
Bacteroides fragilis [Cluster1091]	Bacteroidaceae	Bacteroides	Cluster1091	457424
Megasphaera elsdenii [Cluster1267]	Veillonellaceae	Megasphaera	Cluster1267	1064535
Streptococcus anginosus [Cluster1393]	Streptococcaceae	Streptococcus	Cluster1393	1000570,742820
Mitsuokella multacida [Cluster1653]	Veillonellaceae	Mitsuokella	Cluster1653	500635
