NT_code	SpecI_ID	Rel_ab_p05	Rel_ab_p25	Rel_ab_median	Rel_ab_p75	Rel_ab_p95	Prevalence
NT5057	Cluster1091	0	0	0	0	0.00133574179332588	0.118131868131868
NT5058	Cluster1090	0	0	2.71455626176233e-05	0.00196606562339238	0.0285779190501016	0.505494505494505
NT5059	Cluster1090	0	0	2.71455626176233e-05	0.00196606562339238	0.0285779190501016	0.505494505494505
NT5060	Cluster1090	0	0	2.71455626176233e-05	0.00196606562339238	0.0285779190501016	0.505494505494505
NT5061	Cluster1090	0	0	2.71455626176233e-05	0.00196606562339238	0.0285779190501016	0.505494505494505
NT5062	Cluster1090	0	0	2.71455626176233e-05	0.00196606562339238	0.0285779190501016	0.505494505494505
NT5063	Cluster1090	0	0	2.71455626176233e-05	0.00196606562339238	0.0285779190501016	0.505494505494505
NT5064	Cluster1093	5.67231787263469e-05	0.000753529286638813	0.00251358570384955	0.0081622353675444	0.0700636949883737	0.961538461538462
NT5065	Cluster1100	0.000385776784767191	0.00811650308541417	0.0261937388806144	0.0618950507128034	0.149099690568411	0.964285714285714
NT5066	Cluster1100	0.000385776784767191	0.00811650308541417	0.0261937388806144	0.0618950507128034	0.149099690568411	0.964285714285714
NT5069	Cluster1618	0	0.000128898260764039	0.000474088507264183	0.00147760466160314	0.00528274823525931	0.813186813186813
NT5070	Cluster1052	0	0.000413249885797044	0.0019989614107751	0.00670422025376663	0.0196505139117038	0.876373626373626
NT5071	Cluster1089	0	0.000433433551572139	0.00380788259744099	0.0100983745813492	0.0419905326994503	0.821428571428571
NT5072	Cluster1421	0	1.88250208533297e-05	6.0848243526623e-05	0.000199235803497305	0.000994469556630473	0.642857142857143
NT5073	Cluster814	0	3.00344889101619e-05	0.000475891843510093	0.00180298009284325	0.0051802564359013	0.741758241758242
NT5074	Cluster1088	0	0.00167477586525227	0.00440231109506734	0.0118189305968665	0.041950318779241	0.892857142857143
NT5075	Cluster1627	0	0.000287361634997626	0.00261224561038597	0.00944115197927301	0.0307883483101288	0.832417582417582
NT5076	Cluster1604	0	0.000283683493356541	0.000693626682093326	0.00181668813691657	0.0049634903188552	0.89010989010989
NT5077	Cluster390	0	2.4407609056578e-05	0.000231311345961526	0.00158937037197119	0.0244072189650198	0.722527472527473
NT5078	Cluster390	0	2.4407609056578e-05	0.000231311345961526	0.00158937037197119	0.0244072189650198	0.722527472527473
NT5079	Cluster1633	0	7.69338188669894e-05	0.000463846367824338	0.00126022022549581	0.00581511787436442	0.788461538461538
NT5081	Cluster1115	0	0.000573404704159787	0.00256467437575486	0.00500554735728992	0.0115616318528853	0.821428571428571
NT5082	Cluster1573	0	1.87697502601201e-05	8.53542516402021e-05	0.000252237100313124	0.00135522155347641	0.651098901098901
NT7160	Cluster390	0	2.4407609056578e-05	0.000231311345961526	0.00158937037197119	0.0244072189650198	0.722527472527473
NT12097	Cluster390	0	2.4407609056578e-05	0.000231311345961526	0.00158937037197119	0.0244072189650198	0.722527472527473
NT12192	Cluster390	0	2.4407609056578e-05	0.000231311345961526	0.00158937037197119	0.0244072189650198	0.722527472527473
NT12193	Cluster390	0	2.4407609056578e-05	0.000231311345961526	0.00158937037197119	0.0244072189650198	0.722527472527473
NT12194	Cluster390	0	2.4407609056578e-05	0.000231311345961526	0.00158937037197119	0.0244072189650198	0.722527472527473
NT12195	Cluster390	0	2.4407609056578e-05	0.000231311345961526	0.00158937037197119	0.0244072189650198	0.722527472527473
NTX6	Cluster390	0	2.4407609056578e-05	0.000231311345961526	0.00158937037197119	0.0244072189650198	0.722527472527473
