organism	preparation	variable	original_protein_id	n_hits	temp_hits	gene_name	log2fc	has_hits	log2fc_q	log2fc_z
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ62	0		CLOSA_1717	-1.50556276394273		0.129620502710695	-0.897302829830689
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ65	0		CLOSA_1720	1.75250185197264		0.923114834894036	1.11373249478587
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ67	0		CLOSA_1722	0.0504349704157637		0.492360768851651	0.0631343553413163
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ69	0		CLOSA_1724	2.36020570642997		0.959093149334648	1.48883675522608
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ70	0		CLOSA_1725	-0.124469851615801		0.43124691966486	-0.0448253744421358
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ71	0		CLOSA_1726	-0.488320930336029		0.322819122720552	-0.269411887745722
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ72	0		CLOSA_1727	5.22668004719378		0.996550024642681	3.25816359061893
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ73	0		CLOSA_1728	-4.01980882656157		0.0152784622966979	-2.4492173075256
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ74	0		CLOSA_1729	0.687036854481703		0.726466239526861	0.456075879680721
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ76	0		CLOSA_1733	1.83752355079753		0.9295219319862	1.16621200635251
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ87	0		CLOSA_1745	0.248903436948921		0.572695909314933	0.185638708100607
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ92	0		CLOSA_1754	1.31578337100401		0.869886643666831	0.844168690602678
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ99	0		CLOSA_1762	-0.72254882509617		0.263676688023657	-0.413988692046109
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZA0	0		CLOSA_1763	-0.324411908154415		0.374568753080335	-0.168239298343907
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZA3	0		CLOSA_1769	0.945160691406903		0.793494332183342	0.615402417173685
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZA9	0		CLOSA_1775	0.164887573737909		0.539181862986693	0.133780047004645
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZB4	0		CLOSA_1782	-0.104718945829489		0.436175455889601	-0.0326341585173748
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZB7	0		CLOSA_1785	-1.82022226330043		0.100542138984722	-1.091525917164
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZC2	0		CLOSA_1790	-0.321856744142403		0.376540167570232	-0.166662127325492
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZC3	1	60.5	CLOSA_1791	2.94515078477399	stabilized	0.975850172498768	1.8498931964532
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZC5	0		CLOSA_1793	1.00909862440233		0.807787087235091	0.654868007023762
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZC6	0		CLOSA_1794	-0.458946291858233		0.33218334154756	-0.251280437762158
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZC7	0		CLOSA_1795	0.0224499056842805		0.478560867422376	0.0458606175947487
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZD3	0		CLOSA_1801	-0.626715830410709		0.285362247412518	-0.354835924898762
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZD4	2	49,67	CLOSA_1802	3.9280962044949	stabilized	0.991128634795466	2.45661473032721
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZD7	0		DEOB	-0.041093456354504		0.458846722523411	0.00663857605491507
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZE4	0		CLOSA_1812	-0.941337094683894		0.218334154756037	-0.549035411685532
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZE7	0		MTNK	-0.602128266384439		0.293740758994579	-0.339659289186395
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZE8	0		MTNA	1.1675729008032		0.838836865450961	0.75268600803221
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZE9	0		CLOSA_1817	-0.51052676059486		0.315919172005914	-0.283118401988811
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZF3	0		CLOSA_1821	-2.34699514608531		0.0576638738294726	-1.41667566101979
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZF5	0		CLOSA_1823	0.0440551629314714		0.489403647116806	0.0591964290790527
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZF8	2	45.4,57.9	CLOSA_1826	4.13303266217726	stabilized	0.992607195662888	2.58311144057899
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZG0	0		CLOSA_1828	-0.740146859223882		0.259733859043864	-0.424851051282865
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZG2	1	71.3	CLOSA_1830	2.63884749865333	stabilized	0.96895022178413	1.66082796876381
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZG3	0		CLOSA_1831	-0.464406931060135		0.329226219812716	-0.254651008829523
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZG6	0		CLOSA_3671	0.462262690796085		0.644159684573682	0.317334376205068
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZH5	0		CLOSA_3681	0.525997238854458		0.670773780187284	0.356674427018594
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZI0	0		CLOSA_3686	-0.67555316758766		0.272548053228191	-0.384980695430105
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZI2	0		CLOSA_3688	-0.519243294315902		0.311976343026121	-0.288498668891928
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZI3	0		CLOSA_3689	-0.467329871607257		0.328733366190242	-0.256455189343102
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZI4	0		CLOSA_3690	1.30500186037432		0.869393790044357	0.837513819909474
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZI6	0		CLOSA_3692	-0.425404357444432		0.342533267619517	-0.230576730833628
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZI7	0		CLOSA_3693	0.221026326829349		0.561360275998029	0.168431605170595
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZI8	0		CLOSA_3694	0.0695540375142851		0.500246426811237	0.0749355698172417
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZI9	0		CLOSA_3695	0.997573826020946		0.805322819122721	0.647754343120099
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZJ0	0		CLOSA_3696	2.12664010760705		0.947757516017743	1.34466875206444
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZJ1	0		CLOSA_3697	-0.397460631526888		0.348447511089207	-0.213328509405767
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZJ3	0		CLOSA_3699	0.0261534636720123		0.482010842779694	0.0481466330112974
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZJ8	0		CLOSA_3704	0.969316203032929		0.801379990142928	0.630312369212951
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZM3	0		RPSI	-1.71161514455874		0.111384918679152	-1.02448834178031
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZM4	0		RPLM	0.31637264687606		0.599310004928536	0.227283973152947
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZM5|D9R5X6	0		TRUA	0.481917013758291		0.650566781665845	0.329465976531636
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZM7	0		ECFA	1.4566157920417		0.892557910300641	0.931097283784832
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZM7|D9QZM8	1	42	ECFA	-3.94173232264409	destabilized	0.0162641695416461	-2.40102470673015
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZM9	0		CLOSA_3735	-0.483652746012963		0.324790537210448	-0.266530458221689
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZN0	0		CLOSA_3736	-1.6394429337581		0.115327747658945	-0.979940156742247
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZN1	0		RPLQ	-1.15927939684546		0.175948743223263	-0.683559959244892
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZN2	0		RPOA	-0.391532487059621		0.350418925579103	-0.20966937143936
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZN3	0		RPSD	-0.111600566561156		0.435189748644653	-0.0368818282272983
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZN4	0		RPSK	0.42969378928087		0.63676688023657	0.297231272322135
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZN5	0		RPSM	0.502273315170965		0.659438146870379	0.342030871966629
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZN6	0		RPMJ	0.114819261813531		0.52094627895515	0.102875459222075
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZN7	0		INFA	-0.425281155973646		0.343026121241991	-0.230500684917109
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZN9|D9R7G6	0		MAP	-0.378711187506481		0.353868900936422	-0.201755444200808
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZP0	0		ADK	0.0164966882959374		0.477082306554953	0.0421860034067437
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZP1	0		SECY	-0.884961686104656		0.229669788072942	-0.514237778287249
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZP2	0		RPLO	0.233627035411868		0.565795958600296	0.176209372975094
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZP3	0		RPMD	0.707340596265589		0.734844751108921	0.468608332766467
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZP4	0		RPSE	2.46126034151743		0.961557417447018	1.5512125718027
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZP5	0		RPLR	0.992169536416594		0.804337111877772	0.644418553754314
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZP6	0		RPLF	-0.558725643575225		0.303104977821587	-0.312869087658788
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZP7	0		RPSH	1.66219418709781		0.913750616067028	1.05799022888367
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZP8	0		RPSZ	1.00484051684897		0.806308526367669	0.652239696749012
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZP9	0		RPLE	0.221188366382685		0.561853129620503	0.168531623833255
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZQ0	0		RPLX	0.222284599284547		0.562345983242977	0.169208271889553
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZQ1	0		RPLN	0.160632739081441		0.535731887629374	0.131153756920415
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZQ2	0		RPSQ	-0.8032541563236		0.248891079349433	-0.46380393241624
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZQ3	0		RPMC	3.51084321421786		0.986692952193199	2.19906597004479
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZQ4	0		RPLP	1.34125116888253		0.873829472646624	0.859888649293402
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZQ5	0		RPSC	-1.85076073772202		0.0965993100049285	-1.11037574307651
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZQ6	0		RPLV	0.499238600912173		0.658945293247905	0.340157699303099
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZQ7	0		RPSS	1.92578615425532		0.936421882700838	1.22069196127089
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZQ8	0		RPLB	-0.485613172630721		0.323311976343026	-0.267740528507087
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZQ9	0		RPLW	0.688869809833843		0.727451946771809	0.457207268525371
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZR0	0		RPLD	-1.54691829255485		0.125677673730902	-0.922829465644138
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZR1	0		RPLC	0.196265890707848		0.551010349926072	0.153148264425906
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZR2	0		RPSJ	-0.471543820977485		0.327747658945293	-0.259056243047893
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZR3	0		CLOSA_3769	0.948200645722399		0.795465746673238	0.617278824254079
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZR4	0		CLOSA_3770	-0.607425639779243		0.292262198127156	-0.34292908468787
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZR9	0		CLOSA_3775	-2.37803600105637		0.0561853129620503	-1.4358355805463
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZS0|D9R870|D9RAT4	0		MURQ	0.307147169643724		0.592410054213898	0.221589561657839
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZS2	0		CLOSA_3778	0.0358398191067445		0.484967964514539	0.0541255208611215
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZS4	0		TUF	0.512309434190435		0.663873829472647	0.348225650845974
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZS5	0		FUSA	1.23910912598607		0.853622474125185	0.796841631935349
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZS6	0		RPSG	-1.04792449963161		0.196155741744702	-0.614826321866371
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZS7	0		RPSL	-0.234908525324967		0.396747166091671	-0.112993474285219
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZS8	0		RPOC	0.719935222872378		0.737801872843765	0.476382346480891
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZS9	0		RPOB	-0.361183468052542		0.359290290783637	-0.190936486587244
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZT0	0		CLOSA_3786	1.14962269835854		0.834894036471168	0.741606273448713
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZT1	0		CLOSA_3787	-0.630651248264015		0.28437654016757	-0.357265055457273
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZT2	0		CLOSA_3788	-2.34143347701062		0.0581567274519468	-1.41324272942033
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZT3	0		CLOSA_3789	2.26547471751668		0.95465746673238	1.43036419943026
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZT4	0		CLOSA_3790	-0.483172888158332		0.325283390832923	-0.266234266706105
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZT5	0		CLOSA_3791	3.70223820358963		0.989650073928043	2.31720423001085
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZT6	0		CLOSA_3792	0.100895852140043		0.514539181862987	0.0942812562232416
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZT8	0		CLOSA_3794	1.72592121445297		0.919664859536718	1.09732563755482
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZT9	0		CLOSA_3795	-1.06806468512235		0.192212912764909	-0.627257820084164
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZU0	0		CLOSA_3796	-1.77597555398529		0.105470675209463	-1.06421470455142
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZU1	0		CLOSA_3797	0.287681374703732		0.586495810744209	0.209574329960211
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZU2	0		CLOSA_3798	0.794155298189028		0.756530310497782	0.522194572711263
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZU3	0		CLOSA_3799	-0.494726617041133		0.322326269098078	-0.273365787916843
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZU5	0		DNAA	-1.07649147858479		0.190734351897486	-0.632459245262611
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZU6	0		CLOSA_0002	-1.36267912461097		0.147856086742238	-0.809108125341931
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZU7	0		CLOSA_0003	-0.350602219027267		0.364218827008378	-0.184405227058368
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZU9	0		GYRB	0.399213987688727		0.627895515032035	0.278417662122485
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZV0	0		GYRA	-0.364291339354107		0.358797437161163	-0.192854815321818
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZV4	1	45.4	CLOSA_0010	3.16740863765451	stabilized	0.981764415968457	1.98708151099207
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZV5	0		CLOSA_0011	3.23324912462154		0.982750123213406	2.02772144932658
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZV7	0		CLOSA_0013	1.15795568228883		0.835879743716116	0.746749794839117
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZV8	0		CLOSA_0014	0.153417060736992		0.531296205027107	0.126699890667772
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZV9	0		CLOSA_0015	1.27722127674841		0.861015278462297	0.820366297807772
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZW0	0		CLOSA_0016	0.857063148705348		0.775258748151799	0.561024345750763
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZW1	0		CLOSA_0017	0.693545750587844		0.729423361261705	0.460093485694354
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZW2	0		CLOSA_0018	0.484923453758748		0.653031049778216	0.331321696953117
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZW3	0		CLOSA_0019	1.55271699854277		0.90438639724002	0.990415604258845
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZW6	0		CLOSA_1834	-0.075771189848726		0.449975357318876	-0.0147662010921846
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZX6	0		TOPA	-0.195180717225045		0.40857565303105	-0.0884715464301803
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZX7	0		CODY	-1.75289202076584		0.107442089699359	-1.0499664295189
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZX8	0		RPSB	-1.99886956837265		0.0832922621981272	-1.20179568879247
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZX9	0		TSF	0.727265874734753		0.740266140956136	0.480907179958929
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZY0	0		CLOSA_1848	-1.11640120587684		0.182355840315426	-0.657093462456482
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZY1	1	60.5	CLOSA_1849	2.51045027470798	stabilized	0.964021685559389	1.58157498167588
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZY2	0		CLOSA_1850	-1.56547183284389		0.123213405618531	-0.934281609575139
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZY3	0		CLOSA_1851	0.689429365886184		0.727944800394283	0.457552653629726
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZY4	0		CLOSA_1852	-1.57694321054784		0.122227698373583	-0.941362299648615
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZY5	0		CLOSA_1853	-0.710841343342995		0.266140956136028	-0.406762267114901
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZY6	0		PYRH	-0.104449400480015		0.436668309512075	-0.0324677820689978
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZY7	0		FRR	3.09281678005847		0.980285855101035	1.9410398027271
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZY8	1	71.3	CLOSA_1856	0.758660642093714	stabilized	0.747658945293248	0.500285551357266
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZZ0	0		DXR	1.37471229438639		0.879743716116313	0.880542477047765
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZZ1	0		CLOSA_1859	-0.0260083000087922		0.463282405125678	0.0159498653830633
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZZ2	0		ISPG	-0.691641908146631		0.269590931493346	-0.394911445555389
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZZ6	0		CLOSA_1864	-0.040981576271046		0.459339576145885	0.00670763386268717
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R001	0		CLOSA_1870	1.40701006421351		0.884672252341055	0.900478225317272
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R002	0		CLOSA_1871	-2.81231732050332		0.0364711680630853	-1.70389505056498
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R003	0		CLOSA_1872	0.307269763762634		0.592902907836373	0.221665232687356
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R004	0		CLOSA_1873	-0.781262283896727		0.253819615574174	-0.450229483312665
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R006	0		CLOSA_1875	-4.3937194379361		0.0123213405618531	-2.68001305173827
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R007	0		CLOSA_1876	0.0742153703465181		0.503696402168556	0.0778127702691983
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R008	0		CLOSA_1877	-1.87749798272067		0.0901922129127649	-1.12687926603077
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R009	0		UPP	0.50618313807179		0.661409561360276	0.344444204080469
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R010	0		CLOSA_1881	-0.366596467649393		0.358304583538689	-0.194277652182373
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R012	0		POLA	1.30484707277569		0.868900936421883	0.837418277504589
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R013	1	54.8	COAE	2.05237026680053	stabilized	0.945293247905372	1.29882580816273
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R014	0		CLOSA_1885	-2.46877589905146		0.0507639231148349	-1.49184464167075
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R015	0		CLOSA_1886	-0.360779451644013		0.360275998028586	-0.190687108086491
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R016	0		CLOSA_1887	-0.278817589086217		0.387382947264662	-0.140096275704001
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R017	0		CLOSA_1888	-1.3192912859705		0.153277476589453	-0.782327049319523
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R018	0		CLOSA_1889	-0.118723537727624		0.43371118777723	-0.0412784711183009
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R019	0		CLOSA_1890	-1.0683154567186		0.191720059142435	-0.627412608462522
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R020	0		CLOSA_1891	-1.20682081636135		0.168555938886151	-0.712904826612415
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R022	0		CLOSA_1893	0.604273038722592		0.700344997535732	0.404990042930099
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R023	0		ACKA	1.08487209141051		0.821094135041893	0.701639061863417
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R024	0		CLOSA_1895	-1.25523291785273		0.160670280926565	-0.742787121077201
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R025	1	71.3	RPMF	1.43302599564129	stabilized	0.89009364218827	0.91653651859006
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R027|D9R1L8|D9R7G4	0		DEOC	-0.325703826569662		0.373583045835387	-0.169036732979455
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R028|D9R8S1	0		RBSK	-0.27558091077272		0.388368654509611	-0.138098441041341
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R032	0		CLOSA_1903	-0.229228576199577		0.399211434204041	-0.109487534508154
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R037	0		CLOSA_1909	0.712440815477142		0.735830458353869	0.471756435154497
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R040	0		RBSA	-1.65922103631092		0.114342040413997	-0.992148159828898
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R040|D9R7Q9	0		RBSA	0.162768043339092		0.538196155741745	0.132471770157465
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R041	0		CLOSA_1913	1.9661176134859		0.938886150813208	1.24558649184889
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9R042	0		CLOSA_1914	0.876105155512676		0.778708723509118	0.572777994881619
