organism	preparation	original_protein_id	hit	rossman_hit	rossman_family
C. saccharolyticum	lysate	D9QZY3	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZY4	No	No	NA
C. saccharolyticum	lysate	D9QZY5	No	No	NA
C. saccharolyticum	lysate	D9QZY6	No	No	NA
C. saccharolyticum	lysate	D9QZY7	No	No	NA
C. saccharolyticum	lysate	D9QZY8	Yes	No	NA
C. saccharolyticum	lysate	D9QZZ0	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9QZZ1	No	No	NA
C. saccharolyticum	lysate	D9QZZ2	No	No	NA
C. saccharolyticum	lysate	D9QZZ6	No	Yes	3.40.50.10750
C. saccharolyticum	lysate	D9R001	No	Yes	3.40.50.670
C. saccharolyticum	lysate	D9R002	No	No	NA
C. saccharolyticum	lysate	D9R003	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R004	No	No	NA
C. saccharolyticum	lysate	D9R006	No	Yes	3.40.50.140
C. saccharolyticum	lysate	D9R007	No	No	NA
C. saccharolyticum	lysate	D9R008	No	No	NA
C. saccharolyticum	lysate	D9R009	No	No	NA
C. saccharolyticum	lysate	D9R010	No	No	NA
C. saccharolyticum	lysate	D9R012	No	Yes	3.40.50.1010
C. saccharolyticum	lysate	D9R013	Yes	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R014	No	No	NA
C. saccharolyticum	lysate	D9R015	No	No	NA
C. saccharolyticum	lysate	D9R016	No	No	NA
C. saccharolyticum	lysate	D9R017	No	Yes	3.40.50.1240
C. saccharolyticum	lysate	D9R018	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9R019	No	No	NA
C. saccharolyticum	lysate	D9R020	No	No	NA
C. saccharolyticum	lysate	D9R022	No	No	NA
C. saccharolyticum	lysate	D9R023	No	No	NA
C. saccharolyticum	lysate	D9R024	No	No	NA
C. saccharolyticum	lysate	D9R025	Yes	No	NA
C. saccharolyticum	lysate	D9R027|D9R1L8|D9R7G4	No	No	NA
C. saccharolyticum	lysate	D9R028|D9R8S1	No	No	NA
C. saccharolyticum	lysate	D9R032	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R037	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R040	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R040|D9R7Q9	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R041	No	No	NA
C. saccharolyticum	lysate	D9R042	No	No	NA
C. saccharolyticum	lysate	D9R043	No	No	NA
C. saccharolyticum	lysate	D9R044	No	No	NA
C. saccharolyticum	lysate	D9R045	No	No	NA
C. saccharolyticum	lysate	D9R047	No	No	NA
C. saccharolyticum	lysate	D9R048	Yes	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R049	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R050	No	Yes	3.40.50.1100
C. saccharolyticum	lysate	D9R054	No	No	NA
C. saccharolyticum	lysate	D9R073	No	No	NA
C. saccharolyticum	lysate	D9R074	No	No	NA
C. saccharolyticum	lysate	D9R075	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R076	No	No	NA
C. saccharolyticum	lysate	D9R077	No	No	NA
C. saccharolyticum	lysate	D9R079	No	No	NA
C. saccharolyticum	lysate	D9R080	No	No	NA
C. saccharolyticum	lysate	D9R083	No	No	NA
C. saccharolyticum	lysate	D9R085	No	No	NA
C. saccharolyticum	lysate	D9R086	No	No	NA
C. saccharolyticum	lysate	D9R087	No	No	NA
C. saccharolyticum	lysate	D9R088	No	Yes	3.40.50.2000
C. saccharolyticum	lysate	D9R089	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9R090	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R092	No	No	NA
C. saccharolyticum	lysate	D9R095	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R099	No	No	NA
C. saccharolyticum	lysate	D9R0A0	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R0A5	No	No	NA
C. saccharolyticum	lysate	D9R0A7	No	No	NA
C. saccharolyticum	lysate	D9R0B0	No	No	NA
C. saccharolyticum	lysate	D9R0B2	No	No	NA
C. saccharolyticum	lysate	D9R0B4	No	Yes	3.40.50.1100
C. saccharolyticum	lysate	D9R0B5	No	No	NA
C. saccharolyticum	lysate	D9R0B9	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R0C1	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R0C4	Yes	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R0C5	No	No	NA
C. saccharolyticum	lysate	D9R0C6	No	No	NA
C. saccharolyticum	lysate	D9R0C7	Yes	No	NA
C. saccharolyticum	lysate	D9R0C8	No	No	NA
C. saccharolyticum	lysate	D9R0D0	No	No	NA
C. saccharolyticum	lysate	D9R0D1	No	No	NA
C. saccharolyticum	lysate	D9R0D2|D9R169	No	Yes	3.40.50.1380
C. saccharolyticum	lysate	D9R0D3	No	No	NA
C. saccharolyticum	lysate	D9R0D4	No	No	NA
C. saccharolyticum	lysate	D9R0D5	No	No	NA
C. saccharolyticum	lysate	D9R0D7	No	No	NA
C. saccharolyticum	lysate	D9R0D8	No	No	NA
C. saccharolyticum	lysate	D9R0D9	No	No	NA
C. saccharolyticum	lysate	D9R0E0	No	No	NA
C. saccharolyticum	lysate	D9R0E1	No	No	NA
C. saccharolyticum	lysate	D9R0E2	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R0E3	No	No	NA
C. saccharolyticum	lysate	D9R0F3	No	No	NA
C. saccharolyticum	lysate	D9R0F4	No	No	NA
C. saccharolyticum	lysate	D9R0G2	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R0G3	No	No	NA
C. saccharolyticum	lysate	D9R0G4	No	No	NA
C. saccharolyticum	lysate	D9R0G5	No	No	NA
C. saccharolyticum	lysate	D9R0G6	No	No	NA
C. saccharolyticum	lysate	D9R0G7	No	No	NA
C. saccharolyticum	lysate	D9R0G8	No	No	NA
C. saccharolyticum	lysate	D9R0G9|D9R0X0	No	No	NA
C. saccharolyticum	lysate	D9R0H1	No	No	NA
C. saccharolyticum	lysate	D9R0H2	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R0H3	No	No	NA
C. saccharolyticum	lysate	D9R0H4	No	No	NA
C. saccharolyticum	lysate	D9R0H5	No	No	NA
C. saccharolyticum	lysate	D9R0H6	No	No	NA
C. saccharolyticum	lysate	D9R0H7	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R0I0	No	No	NA
C. saccharolyticum	lysate	D9R0I2	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9R0I5	No	No	NA
C. saccharolyticum	lysate	D9R0J0	No	No	NA
C. saccharolyticum	lysate	D9R0J1	No	No	NA
C. saccharolyticum	lysate	D9R0J3	No	No	NA
C. saccharolyticum	lysate	D9R0J5	No	No	NA
C. saccharolyticum	lysate	D9R0J9	No	No	NA
C. saccharolyticum	lysate	D9R0K0	No	No	NA
C. saccharolyticum	lysate	D9R0K6	No	Yes	3.40.50.1820
C. saccharolyticum	lysate	D9R0L1	No	No	NA
C. saccharolyticum	lysate	D9R0L2	No	No	NA
C. saccharolyticum	lysate	D9R0L3	No	No	NA
C. saccharolyticum	lysate	D9R0L6	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R0M0	Yes	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R0M1	No	No	NA
C. saccharolyticum	lysate	D9R0M2	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9R0M3	No	No	NA
C. saccharolyticum	lysate	D9R0M4	No	No	NA
C. saccharolyticum	lysate	D9R0M6	No	No	NA
C. saccharolyticum	lysate	D9R0M7	No	No	NA
C. saccharolyticum	lysate	D9R0M8	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R0M9	No	No	NA
C. saccharolyticum	lysate	D9R0N0	No	No	NA
C. saccharolyticum	lysate	D9R0N1	No	No	NA
C. saccharolyticum	lysate	D9R0N2	No	Yes	3.40.50.20
C. saccharolyticum	lysate	D9R0N3	No	No	NA
C. saccharolyticum	lysate	D9R0N4	No	No	NA
C. saccharolyticum	lysate	D9R0N5	Yes	No	NA
C. saccharolyticum	lysate	D9R0N7	No	No	NA
C. saccharolyticum	lysate	D9R0P0	No	No	NA
C. saccharolyticum	lysate	D9R0P2	No	No	NA
C. saccharolyticum	lysate	D9R0P5	No	Yes	3.40.50.970
C. saccharolyticum	lysate	D9R0P6	No	Yes	3.40.50.920
C. saccharolyticum	lysate	D9R0P7	No	No	NA
C. saccharolyticum	lysate	D9R0P8	No	No	NA
C. saccharolyticum	lysate	D9R0P9	No	Yes	3.40.50.1580
C. saccharolyticum	lysate	D9R0Q0	No	No	NA
C. saccharolyticum	lysate	D9R0Q1	No	Yes	3.40.50.10490
C. saccharolyticum	lysate	D9R0Q2	No	No	NA
C. saccharolyticum	lysate	D9R0Q3	No	No	NA
C. saccharolyticum	lysate	D9R0Q6	No	No	NA
C. saccharolyticum	lysate	D9R0Q7	No	No	NA
C. saccharolyticum	lysate	D9R0R0	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R0R2	No	No	NA
C. saccharolyticum	lysate	D9R0R4	No	No	NA
C. saccharolyticum	lysate	D9R0R5	No	No	NA
C. saccharolyticum	lysate	D9R0R6	No	Yes	3.40.50.970
C. saccharolyticum	lysate	D9R0R7	No	No	NA
C. saccharolyticum	lysate	D9R0R8	Yes	Yes	3.40.50.360
C. saccharolyticum	lysate	D9R0R9	No	No	NA
C. saccharolyticum	lysate	D9R0S5	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R0S9	No	No	NA
C. saccharolyticum	lysate	D9R0T0	No	No	NA
C. saccharolyticum	lysate	D9R0T1	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R0T2	No	No	NA
C. saccharolyticum	lysate	D9R0T3	No	No	NA
C. saccharolyticum	lysate	D9R0T4	No	No	NA
C. saccharolyticum	lysate	D9R0T5	No	No	NA
C. saccharolyticum	lysate	D9R0T6	No	Yes	3.40.50.10490
C. saccharolyticum	lysate	D9R0T8	No	No	NA
C. saccharolyticum	lysate	D9R0U2	No	No	NA
C. saccharolyticum	lysate	D9R0U9	No	No	NA
C. saccharolyticum	lysate	D9R0V0	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R0V2	No	No	NA
C. saccharolyticum	lysate	D9R0V3	No	No	NA
C. saccharolyticum	lysate	D9R0V4	No	No	NA
C. saccharolyticum	lysate	D9R0V5	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R0V6	Yes	No	NA
C. saccharolyticum	lysate	D9R0V9	No	Yes	3.40.50.2020
C. saccharolyticum	lysate	D9R0W1	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R0W2	No	No	NA
C. saccharolyticum	lysate	D9R0W3	No	No	NA
C. saccharolyticum	lysate	D9R0W4	No	No	NA
C. saccharolyticum	lysate	D9R0W5	No	No	NA
C. saccharolyticum	lysate	D9R0W6	No	No	NA
C. saccharolyticum	lysate	D9R0W7	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R0W8	No	No	NA
C. saccharolyticum	lysate	D9R0W9	No	No	NA
C. saccharolyticum	lysate	D9R0X1	No	No	NA
C. saccharolyticum	lysate	D9R0Y8	No	Yes	3.40.50.1980
C. saccharolyticum	lysate	D9R0Z2	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R0Z3	Yes	No	NA
C. saccharolyticum	lysate	D9R0Z4	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R0Z5	No	No	NA
C. saccharolyticum	lysate	D9R0Z6	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9R0Z7	No	Yes	3.40.50.620
C. saccharolyticum	lysate	D9R0Z8	No	No	NA
C. saccharolyticum	lysate	D9R101	No	No	NA
C. saccharolyticum	lysate	D9R105	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R107	No	No	NA
C. saccharolyticum	lysate	D9R109	No	No	NA
C. saccharolyticum	lysate	D9R110	No	No	NA
C. saccharolyticum	lysate	D9R111	No	Yes	3.40.50.1980
C. saccharolyticum	lysate	D9R112	No	No	NA
C. saccharolyticum	lysate	D9R113	No	No	NA
C. saccharolyticum	lysate	D9R114	No	No	NA
C. saccharolyticum	lysate	D9R115	No	No	NA
C. saccharolyticum	lysate	D9R116	No	No	NA
C. saccharolyticum	lysate	D9R117	No	No	NA
C. saccharolyticum	lysate	D9R118	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R119	No	No	NA
C. saccharolyticum	lysate	D9R121	No	No	NA
C. saccharolyticum	lysate	D9R122	No	Yes	3.40.50.10440
C. saccharolyticum	lysate	D9R123	No	No	NA
C. saccharolyticum	lysate	D9R126	No	No	NA
C. saccharolyticum	lysate	D9R127	No	No	NA
C. saccharolyticum	lysate	D9R128	No	No	NA
C. saccharolyticum	lysate	D9R132	No	No	NA
C. saccharolyticum	lysate	D9R134	No	No	NA
C. saccharolyticum	lysate	D9R135	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R136	No	No	NA
C. saccharolyticum	lysate	D9R137	No	Yes	3.40.50.620
C. saccharolyticum	lysate	D9R138	No	No	NA
C. saccharolyticum	lysate	D9R139	No	No	NA
C. saccharolyticum	lysate	D9R140	Yes	No	NA
C. saccharolyticum	lysate	D9R144	No	No	NA
C. saccharolyticum	lysate	D9R145	No	No	NA
C. saccharolyticum	lysate	D9R147	No	No	NA
C. saccharolyticum	lysate	D9R150	No	Yes	3.40.50.10490
C. saccharolyticum	lysate	D9R151	No	No	NA
C. saccharolyticum	lysate	D9R152	No	No	NA
C. saccharolyticum	lysate	D9R153	No	No	NA
C. saccharolyticum	lysate	D9R154	No	No	NA
C. saccharolyticum	lysate	D9R156	No	No	NA
C. saccharolyticum	lysate	D9R157	No	No	NA
C. saccharolyticum	lysate	D9R158	Yes	No	NA
C. saccharolyticum	lysate	D9R160	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R161	Yes	No	NA
C. saccharolyticum	lysate	D9R163	No	Yes	3.40.50.1970
C. saccharolyticum	lysate	D9R164	No	No	NA
C. saccharolyticum	lysate	D9R165	No	No	NA
C. saccharolyticum	lysate	D9R166	No	No	NA
C. saccharolyticum	lysate	D9R167	No	No	NA
C. saccharolyticum	lysate	D9R168	No	No	NA
C. saccharolyticum	lysate	D9R170	No	No	NA
C. saccharolyticum	lysate	D9R171	No	No	NA
C. saccharolyticum	lysate	D9R172	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R173	No	No	NA
C. saccharolyticum	lysate	D9R174	No	No	NA
C. saccharolyticum	lysate	D9R176	Yes	No	NA
C. saccharolyticum	lysate	D9R180	No	No	NA
C. saccharolyticum	lysate	D9R181	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R183	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R184	No	No	NA
C. saccharolyticum	lysate	D9R191	No	No	NA
C. saccharolyticum	lysate	D9R193	No	No	NA
C. saccharolyticum	lysate	D9R194	Yes	No	NA
C. saccharolyticum	lysate	D9R195	No	No	NA
C. saccharolyticum	lysate	D9R199	No	No	NA
C. saccharolyticum	lysate	D9R1A0	No	No	NA
C. saccharolyticum	lysate	D9R1A1	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R1A4	No	No	NA
C. saccharolyticum	lysate	D9R1A5	No	No	NA
C. saccharolyticum	lysate	D9R1A7	No	No	NA
C. saccharolyticum	lysate	D9R1A8	No	No	NA
C. saccharolyticum	lysate	D9R1A9	No	No	NA
C. saccharolyticum	lysate	D9R1B0	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R1C2	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R1C3	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R1C5	No	Yes	3.40.50.10540
C. saccharolyticum	lysate	D9R1C6	No	Yes	3.40.50.10540
C. saccharolyticum	lysate	D9R1C7	No	Yes	3.40.50.620
C. saccharolyticum	lysate	D9R1C8	Yes	Yes	3.40.50.620
C. saccharolyticum	lysate	D9R1C9	No	Yes	3.40.50.980
C. saccharolyticum	lysate	D9R1D0	Yes	Yes	3.40.50.620
C. saccharolyticum	lysate	D9R1D1	No	Yes	3.40.50.620
C. saccharolyticum	lysate	D9R1D5	No	No	NA
C. saccharolyticum	lysate	D9R1D6	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9R1D7	No	No	NA
C. saccharolyticum	lysate	D9R1D8	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R1D9	No	No	NA
C. saccharolyticum	lysate	D9R1E0	No	No	NA
C. saccharolyticum	lysate	D9R1E1	No	No	NA
C. saccharolyticum	lysate	D9R1E2	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R1E3	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R1E4	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9R1E7	No	No	NA
C. saccharolyticum	lysate	D9R1E9	No	No	NA
C. saccharolyticum	lysate	D9R1F0	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R1F1	No	No	NA
C. saccharolyticum	lysate	D9R1F2	No	Yes	3.40.50.970
C. saccharolyticum	lysate	D9R1F3	No	No	NA
C. saccharolyticum	lysate	D9R1F4	No	No	NA
C. saccharolyticum	lysate	D9R1F5	No	No	NA
C. saccharolyticum	lysate	D9R1F8	No	No	NA
C. saccharolyticum	lysate	D9R1F9	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R1G0	No	No	NA
C. saccharolyticum	lysate	D9R1G1	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R1G2	No	No	NA
C. saccharolyticum	lysate	D9R1G3	No	No	NA
C. saccharolyticum	lysate	D9R1G6	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9R1G7|D9R5U9	No	No	NA
C. saccharolyticum	lysate	D9R1G8	No	No	NA
C. saccharolyticum	lysate	D9R1H2	No	No	NA
C. saccharolyticum	lysate	D9R1H5	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9R1H6	No	No	NA
C. saccharolyticum	lysate	D9R1H7	No	No	NA
C. saccharolyticum	lysate	D9R1H9	No	No	NA
C. saccharolyticum	lysate	D9R1H9|D9R4F8	No	No	NA
C. saccharolyticum	lysate	D9R1I0	No	No	NA
C. saccharolyticum	lysate	D9R1I2	No	No	NA
C. saccharolyticum	lysate	D9R1I3|D9R2P1	No	No	NA
C. saccharolyticum	lysate	D9R1I4|D9R2P2|D9R3I1	No	Yes	3.40.50.300|NA
C. saccharolyticum	lysate	D9R1I5|D9R2P3	No	No	NA
C. saccharolyticum	lysate	D9R1I6|D9R2P4|D9R3H9	No	Yes	3.40.50.300|NA
C. saccharolyticum	lysate	D9R1I7	No	No	NA
