KEGG id,Name,Sum formula,Monoisotopic mass,CAS number,PubChem id,ChEBI id,KNApSAcK id
cpd:C00033,Acetate,C2H4O2,60.0211,64-19-7,3335,15366,C00001176
cpd:C00034,Manganese,Mn,54.9381,7439-96-5,3336,18291,n.a.
cpd:C00035,GDP,C10H15N5O11P2,443.0243,146-91-8,3337,17552,n.a.
cpd:C00036,Oxaloacetate,C4H4O5,132.0059,328-42-7,3338,30744,C00001197
cpd:C00037,Glycine,C2H5NO2,75.032,56-40-6,3339,15428,C00001361
cpd:C00038,Zinc cation,Zn,63.9291,23713-49-7,3340,27363,n.a.
cpd:C00039,DNA,C10H17O8PR2(C5H8O5PR)n,0,9007-49-2,3341,16991,n.a.
cpd:C00040,Acyl-CoA,C22H35N7O17P3SR,0,9029-97-4,3342,17984,n.a.
cpd:C00041,L-Alanine,C3H7NO2,89.0477,56-41-7,3343,16977,C00001332
cpd:C00042,Succinate,C4H6O4,118.0266,110-15-6,3344,15741,C00001205
cpd:C00043,UDP-N-acetyl-alpha-D-glucosamine,C17H27N3O17P2,607.0816,528-04-1,3345,16264,C00019358
cpd:C00044,GTP,C10H16N5O14P3,522.9907,86-01-1,3346,15996,C00007223
cpd:C00045,Amino acid,C2H4NO2R,0,n.a,3347,33704,n.a.
cpd:C00046,RNA,C10H18O13P2R2(C5H8O6PR)n,0,n.a,3348,18273,n.a.
cpd:C00047,L-Lysine,C6H14N2O2,146.1055,56-87-1,3349,18019,C00001378
cpd:C00048,Glyoxylate,C2H2O3,74.0004,298-12-4,3350,16891,C00001186
cpd:C00049,L-Aspartate,C4H7NO4,133.0375,56-84-8,3351,17053,C00001342
cpd:C00050,Metal,n.a.,0,n.a,3352,33521,n.a.
cpd:C00051,Glutathione,C10H17N3O6S,307.0838,70-18-8,3353,16856,C00001518
cpd:C00052,UDP-alpha-D-galactose,C15H24N2O17P2,566.055,2956-16-3,3354,18307,C00007390
cpd:C00053,3'-Phosphoadenylyl sulfate,C10H15N5O13P2S,506.9862,482-67-7,3355,17980,C00007446
cpd:C00054,"Adenosine 3',5'-bisphosphate",C10H15N5O10P2,427.0294,1053-73-2,3356,17985,C00019352
cpd:C00055,CMP,C9H14N3O8P,323.0519,63-37-6,3357,17361,n.a.
cpd:C00058,Formate,CH2O2,46.0055,64-18-6,3358,15740,C00001182
cpd:C00059,Sulfate,H2SO4,97.9674,7664-93-9,3359,16189,C00007530
cpd:C00060,Carboxylate,CO2R,0,n.a,3360,35757,n.a.
cpd:C00061,FMN,C17H21N4O9P,456.1046,146-17-8,3361,17621,C00019686
cpd:C00062,L-Arginine,C6H14N4O2,174.1117,74-79-3,3362,16467,C00001340
cpd:C00063,CTP,C9H16N3O14P3,482.9845,65-47-4,3363,17677,C00019639
cpd:C00064,L-Glutamine,C5H10N2O3,146.0691,56-85-9,3364,18050,C00001359
cpd:C00065,L-Serine,C3H7NO3,105.0426,56-45-1,3365,17115,C00001393
cpd:C00066,tRNA,C10H17O10PR2(C5H8O6PR)n,0,n.a,3366,17843,n.a.
cpd:C00067,Formaldehyde,CH2O,30.0106,50-00-0,3367,16842,n.a.
cpd:C00068,Thiamin diphosphate,C12H19N4O7P2S,425.045,n.a,3368,9532,C00019627
cpd:C00069,Alcohol,HOR,0,n.a,3369,30879,n.a.
cpd:C00070,Copper,Cu,62.9296,7440-50-8,3370,28694,n.a.
cpd:C00071,Aldehyde,CHOR,0,n.a,3371,17478,n.a.
cpd:C00072,Ascorbate,C6H8O6,176.0321,50-81-7,3372,29073,C00001179
cpd:C00073,L-Methionine,C5H11NO2S,149.051,63-68-3,3373,16643,C00001379
cpd:C00074,Phosphoenolpyruvate,C3H5O6P,167.9824,138-08-9,3374,18021,C00000798
cpd:C00075,UTP,C9H15N2O15P3,483.9685,63-39-8,3375,15713,n.a.
cpd:C00076,Calcium cation,Ca,39.9626,14127-61-8,3376,29108,n.a.
cpd:C00077,L-Ornithine,C5H12N2O2,132.0899,70-26-8,3377,15729,C00001384
cpd:C00078,L-Tryptophan,C11H12N2O2,204.0899,73-22-3,3378,16828,C00001396
cpd:C00079,L-Phenylalanine,C9H11NO2,165.079,63-91-2,3379,17295,C00001386
cpd:C00080,H+,H,1.0078,n.a,3380,15378,n.a.
cpd:C00081,ITP,C10H15N4O14P3,507.9798,132-06-9,3381,16039,n.a.
cpd:C00082,L-Tyrosine,C9H11NO3,181.0739,60-18-4,3382,17895,C00001397
cpd:C00083,Malonyl-CoA,C24H38N7O19P3S,853.1156,524-14-1,3383,15531,C00007260
cpd:C00084,Acetaldehyde,C2H4O,44.0262,75-07-0,3384,15343,C00007392
cpd:C00085,D-Fructose 6-phosphate,C6H13O9P,260.0297,643-13-0,3385,15946,C00007305
cpd:C00086,Urea,CH4N2O,60.0324,57-13-6,3386,16199,C00007314
cpd:C00087,Sulfur,S,31.9721,7704-34-9,3387,17909,n.a.
cpd:C00088,Nitrite,HNO2,47.0007,n.a,3388,16301,n.a.
cpd:C00089,Sucrose,C12H22O11,342.1162,57-50-1,3389,17992,C00001151
cpd:C00090,Catechol,C6H6O2,110.0368,120-80-9,3390,18135,C00002644
cpd:C00091,Succinyl-CoA,C25H40N7O19P3S,867.1313,604-98-8,3391,15380,C00019546
cpd:C00092,D-Glucose 6-phosphate,C6H13O9P,260.0297,56-73-5,3392,4170,C00007306
cpd:C00093,sn-Glycerol 3-phosphate,C3H9O6P,172.0137,17989-41-2,3393,15978,C00007288
cpd:C00094,Sulfite,H2SO3,81.9725,n.a,3394,48854,n.a.
cpd:C00095,D-Fructose,C6H12O6,180.0634,57-48-7,3395,15824,C00033848
cpd:C00096,GDP-mannose,C16H25N5O16P2,605.0772,3123-67-9,3396,15820,C00007246
cpd:C00097,L-Cysteine,C3H7NO2S,121.0197,52-90-4,3397,17561,C00001351
cpd:C00098,Oligopeptide,C2H4NO2R(C2H2NOR)n,0,n.a,3398,25676,n.a.
cpd:C00099,beta-Alanine,C3H7NO2,89.0477,107-95-9,3399,16958,C00001333
cpd:C00100,Propanoyl-CoA,C24H40N7O17P3S,823.1414,317-66-8,3400,15539,n.a.
cpd:C00101,Tetrahydrofolate,C19H23N7O6,445.171,135-16-0,3401,15635,C00007249
cpd:C00102,"2,6-Dichloroindophenol",C12H7Cl2NO2,266.9854,956-48-9,3402,945,n.a.
cpd:C00103,D-Glucose 1-phosphate,C6H13O9P,260.0297,59-56-3,3403,29042,C00007482
cpd:C00104,IDP,C10H14N4O11P2,428.0134,86-04-4,3404,17808,n.a.
cpd:C00105,UMP,C9H13N2O9P,324.0359,58-97-9,3405,16695,C00007311
cpd:C00106,Uracil,C4H4N2O2,112.0273,66-22-8,3406,17568,C00001513
cpd:C00107,Dipeptide,C4H6N2O3R2,0,n.a,3407,46761,n.a.
cpd:C00108,Anthranilate,C7H7NO2,137.0477,118-92-3,3408,30754,C00007382
cpd:C00109,2-Oxobutanoate,C4H6O3,102.0317,600-18-0,3409,30831,C00019675
cpd:C00110,Dolichyl phosphate,C20H37O4P(C5H8)n,0,n.a,3410,16214,n.a.
cpd:C00111,Glycerone phosphate,C3H7O6P,169.998,57-04-5,3411,16108,C00007560
cpd:C00112,CDP,C9H15N3O11P2,403.0182,63-38-7,3412,17239,n.a.
cpd:C00113,PQQ,C14H6N2O8,330.0124,72909-34-3,3413,18315,n.a.
cpd:C00114,Choline,C5H14NO,104.1075,62-49-7,3414,15354,C00007298
cpd:C00116,Glycerol,C3H8O3,92.0473,56-81-5,3416,17754,C00001163
cpd:C00117,D-Ribose 5-phosphate,C5H11O8P,230.0192,4300-28-1,3417,17797,C00007473
cpd:C00118,D-Glyceraldehyde 3-phosphate,C3H7O6P,169.998,591-57-1,3418,29052,C00007564
cpd:C00119,5-Phospho-alpha-D-ribose 1-diphosphate,C5H13O14P3,389.9518,n.a,3419,17111,C00007296
cpd:C00120,Biotin,C10H16N2O3S,244.0882,58-85-5,3420,15956,C00000756
cpd:C00121,D-Ribose,C5H10O5,150.0528,50-69-1,3421,47013,C00034198
cpd:C00122,Fumarate,C4H4O4,116.011,110-17-8,3422,18012,C00001183
cpd:C00123,L-Leucine,C6H13NO2,131.0946,61-90-5,3423,15603,C00001377
cpd:C00124,D-Galactose,C6H12O6,180.0634,59-23-4,3424,4139,C00019681
cpd:C00125,Ferricytochrome c,C42H44FeN8O8S2R4,0,n.a,3425,15991,n.a.
cpd:C00126,Ferrocytochrome c,C42H44FeN8O8S2R4,0,n.a,3426,16928,n.a.
cpd:C00127,Glutathione disulfide,C20H32N6O12S2,612.152,27025-41-8,3427,17858,n.a.
cpd:C00128,CMP-N-acetylneuraminate,C20H31N4O16P,614.1473,3063-71-6,3428,16556,n.a.
cpd:C00129,Isopentenyl diphosphate,C5H12O7P2,246.0058,358-71-4,3429,16584,C00000848
cpd:C00130,IMP,C10H13N4O8P,348.0471,131-99-7,3430,17202,C00007224
cpd:C00131,dATP,C10H16N5O12P3,491.0008,1927-31-7,3431,16284,n.a.
cpd:C00132,Methanol,CH4O,32.0262,67-56-1,3432,17790,n.a.
cpd:C00133,D-Alanine,C3H7NO2,89.0477,338-69-2,3433,15570,C00019654
cpd:C00134,Putrescine,C4H12N2,88.1,110-60-1,3434,17148,C00001428
cpd:C00135,L-Histidine,C6H9N3O2,155.0695,71-00-1,3435,n.a,C00001363
cpd:C00136,Butanoyl-CoA,C25H42N7O17P3S,837.1571,n.a,3436,15517,n.a.
cpd:C00137,myo-Inositol,C6H12O6,180.0634,87-89-8,3437,17268,C00001164
cpd:C00138,Reduced ferredoxin,n.a.,0,n.a,3438,17513,n.a.
cpd:C00139,Oxidized ferredoxin,n.a.,0,n.a,3439,17908,n.a.
cpd:C00140,N-Acetyl-D-glucosamine,C8H15NO6,221.0899,7512-17-6,3440,506227,n.a.
cpd:C00141,3-Methyl-2-oxobutanoic acid,C5H8O3,116.0473,759-05-7,3441,11851,C00007623
cpd:C00143,"5,10-Methylenetetrahydrofolate",C20H23N7O6,457.171,3432-99-3,3443,1989,C00007250
cpd:C00144,GMP,C10H14N5O8P,363.058,85-32-5,3444,17345,C00019635
cpd:C00145,Thiol,HSR,0,n.a,3445,29256,n.a.
cpd:C00146,Phenol,C6H6O,94.0419,108-95-2,3446,15882,C00002664
cpd:C00147,Adenine,C5H5N5,135.0545,73-24-5,3447,16708,C00001490
cpd:C00148,L-Proline,C5H9NO2,115.0633,147-85-3,3448,17203,C00001388
cpd:C00149,(S)-Malate,C4H6O5,134.0215,97-67-6,3449,30797,C00001192
cpd:C00150,Molybdenum,Mo,97.9054,7439-98-7,3450,28685,n.a.
cpd:C00151,L-Amino acid,C2H4NO2R,0,n.a,3451,15705,n.a.
cpd:C00152,L-Asparagine,C4H8N2O3,132.0535,70-47-3,3452,17196,C00001341
cpd:C00153,Nicotinamide,C6H6N2O,122.048,98-92-0,3453,17154,C00000209
cpd:C00154,Palmitoyl-CoA,C37H66N7O17P3S,1005.3449,1763-10-6,3454,15525,C00007462
cpd:C00155,L-Homocysteine,C4H9NO2S,135.0354,6027-13-0,3455,17588,C00001365
cpd:C00156,4-Hydroxybenzoate,C7H6O3,138.0317,99-96-7,3456,30763,C00000856
cpd:C00157,Phosphatidylcholine,C10H18NO8PR2,0,8002-43-5,3457,16110,n.a.
cpd:C00158,Citrate,C6H8O7,192.027,77-92-9,3458,30769,C00007619
cpd:C00159,D-Mannose,C6H12O6,180.0634,3458-28-4,3459,4208,n.a.
cpd:C00160,Glycolate,C2H4O3,76.016,79-14-1,3460,17497,C00007461
cpd:C00161,2-Oxo acid,C2HO3R,0,n.a,3461,35910,n.a.
cpd:C00162,Fatty acid,CHO2R,0,n.a,3462,35366,n.a.
cpd:C00163,Propanoate,C3H6O2,74.0368,79-09-4,3463,30768,C00044287
cpd:C00164,Acetoacetate,C4H6O3,102.0317,541-50-4,3464,13705,C00007458
cpd:C00165,Diacylglycerol,C5H6O5R2,0,n.a,3465,18035,n.a.
cpd:C00166,Phenylpyruvate,C9H8O3,164.0473,156-06-9,3466,30851,C00000751
cpd:C00167,UDP-glucuronate,C15H22N2O18P2,580.0343,n.a,3467,17200,C00007238
cpd:C00168,Hydroxypyruvate,C3H4O4,104.011,1113-60-6,3468,30841,C00007563
cpd:C00169,Carbamoyl phosphate,CH4NO5P,140.9827,590-55-6,3469,17672,C00007513
cpd:C00170,5'-Methylthioadenosine,C11H15N5O3S,297.0896,2457-80-9,3470,17509,n.a.
cpd:C00171,5'-Phosphomononucleotide,C5H10O7PR,0,n.a,3471,37010,n.a.
cpd:C00172,3'-Phosphooligonucleotide,C10H19O16P3R2(C5H8O6PR)n,0,n.a,3472,n.a,n.a.
cpd:C00173,Acyl-[acyl-carrier protein],C3H4OSR2,0,n.a,3473,16018,n.a.
cpd:C00174,Acid,n.a.,0,n.a,3474,37527,n.a.
cpd:C00175,Cobalt ion,Co,58.9332,22541-53-3,3475,27638,n.a.
cpd:C00176,Flavin,C12H9N4O2R,0,n.a,3476,30527,n.a.
cpd:C00177,Cyanide ion,CN,26.0031,57-12-5,3477,17514,n.a.
cpd:C00178,Thymine,C5H6N2O2,126.0429,65-71-4,3478,17821,C00001511
cpd:C00179,Agmatine,C5H14N4,130.1218,306-60-5,3479,17431,C00001400
cpd:C00180,Benzoate,C7H6O2,122.0368,65-85-0,3480,30746,C00000207
cpd:C00181,D-Xylose,C5H10O5,150.0528,58-86-6,3481,15936,C00007290
cpd:C00182,Glycogen,C24H42O21,666.2219,9005-79-2,3482,28087,n.a.
cpd:C00183,L-Valine,C5H11NO2,117.079,72-18-4,3483,16414,C00001398
cpd:C00184,Glycerone,C3H6O3,90.0317,96-26-4,3484,16016,n.a.
cpd:C00185,Cellobiose,C12H22O11,342.1162,16462-44-5,3485,17057,n.a.
cpd:C00186,(S)-Lactate,C3H6O3,90.0317,79-33-4,3486,422,C00001191
cpd:C00187,Cholesterol,C27H46O,386.3549,57-88-5,3487,16113,C00003648
cpd:C00188,L-Threonine,C4H9NO3,119.0582,72-19-5,3488,16857,C00001394
cpd:C00189,Ethanolamine,C2H7NO,61.0528,141-43-5,3489,16000,C00007279
cpd:C00190,UDP-D-xylose,C14H22N2O16P2,536.0445,06/06/3616,3490,16082,n.a.
cpd:C00191,D-Glucuronate,C6H10O7,194.0427,03/12/6556,3491,4178,C00001123
cpd:C00192,Hydroxylamine,NH3O,33.0215,7803-49-8,3492,15429,n.a.
cpd:C00193,Aromatic aldehyde,C7H6O,106.0419,n.a,3493,17169,n.a.
cpd:C00194,Cobamide coenzyme,C72H100CoN18O17P,1578.6583,13870-90-1,3494,18408,n.a.
cpd:C00195,N-Acylsphingosine,C19H36NO3R,0,n.a,3495,17761,n.a.
cpd:C00196,"2,3-Dihydroxybenzoate",C7H6O4,154.0266,303-38-8,3496,18026,C00002669
cpd:C00197,3-Phospho-D-glycerate,C3H7O7P,185.9929,n.a,3497,17794,C00019551
cpd:C00198,"D-Glucono-1,5-lactone",C6H10O6,178.0477,90-80-2,3498,16217,n.a.
cpd:C00199,D-Ribulose 5-phosphate,C5H11O8P,230.0192,551-85-9,3499,17363,n.a.
cpd:C00200,Phenazine methosulfate,C13H11N2.,306.0674,299-11-6,3500,8055,n.a.
cpd:C00201,Nucleoside triphosphate,C5H12O13P3R,0,n.a,3501,17326,n.a.
cpd:C00202,Isoflurophate,C6H14FO3P,184.0665,55-91-4,3502,17941,n.a.
cpd:C00203,UDP-N-acetyl-D-galactosamine,C17H27N3O17P2,607.0816,n.a,3503,67168,n.a.
cpd:C00204,2-Dehydro-3-deoxy-D-gluconate,C6H10O6,178.0477,17510-99-5,3504,17032,n.a.
cpd:C00205,hn,n.a.,0,n.a,3505,30212,n.a.
cpd:C00206,dADP,C10H15N5O9P2,411.0345,08/06/2793,3506,16174,n.a.
cpd:C00207,Acetone,C3H6O,58.0419,67-64-1,3507,15347,C00048304
cpd:C00208,Maltose,C12H22O11,342.1162,69-79-4,3508,17306,C00001140
cpd:C00209,Oxalate,C2H2O4,89.9953,144-62-7,3509,16995,C00001198
cpd:C00210,Cobamide,C53H79CoN11O14P(R1)(R2),0,14709-02-5,3510,3796,n.a.
cpd:C00211,Collagen,C4H6N2O3R2(C7H9N2O2R)n,0,9064-67-9,3511,3815,n.a.
cpd:C00212,Adenosine,C10H13N5O4,267.0968,58-61-7,3512,16335,C00007444
cpd:C00213,Sarcosine,C3H7NO2,89.0477,107-97-1,3513,15611,n.a.
cpd:C00214,Thymidine,C10H14N2O5,242.0903,50-89-5,3514,17748,C00019698
cpd:C00215,Nucleotide,n.a.,0,n.a,3515,36976,n.a.
cpd:C00216,D-Arabinose,C5H10O5,150.0528,10323-20-3,3516,17108,n.a.
cpd:C00217,D-Glutamate,C5H9NO4,147.0532,6893-26-1,3517,15966,C00019577
cpd:C00218,Methylamine,CH5N,31.0422,74-89-5,3518,16830,n.a.
cpd:C00219,Arachidonate,C20H32O2,304.2402,506-32-1,3519,15843,C00000388
cpd:C00220,Methylene blue,C16H18N3S.,319.091,61-73-4,3520,6872,n.a.
cpd:C00221,beta-D-Glucose,C6H12O6,180.0634,492-61-5,3521,15903,n.a.
cpd:C00222,3-Oxopropanoate,C3H4O3,88.016,n.a,3522,17960,n.a.
cpd:C00223,p-Coumaroyl-CoA,C30H42N7O18P3S,913.152,119785-99-8,3523,15499,C00007280
cpd:C00224,Adenylyl sulfate,C10H14N5O10PS,427.0199,485-84-7,3524,17709,C00007445
cpd:C00225,Methyl viologen,C12H14N2.,256.0534,1910-42-5,3525,28786,n.a.
cpd:C00226,Primary alcohol,CH3OR,0,n.a,3526,15734,n.a.
cpd:C00227,Acetyl phosphate,C2H5O5P,139.9875,n.a,3527,15350,C00019559
cpd:C00229,Acyl-carrier protein,HSR,0,n.a,3528,18359,n.a.
cpd:C00230,"3,4-Dihydroxybenzoate",C7H6O4,154.0266,99-50-3,3529,36062,C00002668
cpd:C00231,D-Xylulose 5-phosphate,C5H11O8P,230.0192,n.a,3530,16332,C00019693
cpd:C00232,Succinate semialdehyde,C4H6O3,102.0317,692-29-5,3531,16265,C00019682
cpd:C00233,4-Methyl-2-oxopentanoate,C6H10O3,130.063,816-66-0,3532,48430,C00019677
cpd:C00234,10-Formyltetrahydrofolate,C20H23N7O7,473.1659,2800-34-2,3533,15637,n.a.
cpd:C00235,Dimethylallyl diphosphate,C5H12O7P2,246.0058,358-72-5,3534,16057,C00007294
cpd:C00236,3-Phospho-D-glyceroyl phosphate,C3H8O10P2,265.9593,38168-82-0,3535,16001,C00019552
cpd:C00237,CO,CO,27.9949,630-08-0,3536,17245,n.a.
cpd:C00238,Potassium cation,K,38.9637,24203-36-9,3537,29103,n.a.
cpd:C00239,dCMP,C9H14N3O7P,307.0569,1032-65-1,3538,15918,n.a.
cpd:C00240,rRNA,C15H25O16P2R3,0,n.a,3539,18111,n.a.
cpd:C00241,Amide,CH2NOR,0,n.a,3540,32988,n.a.
cpd:C00242,Guanine,C5H5N5O,151.0494,73-40-5,3541,16235,C00001501
cpd:C00243,Lactose,C12H22O11,342.1162,63-42-3,3542,17716,C00001136
cpd:C00244,Nitrate,HNO3,62.9956,7697-37-2,3543,48107,n.a.
cpd:C00245,Taurine,C2H7NO3S,125.0147,107-35-7,3544,15891,C00048188
cpd:C00246,Butanoic acid,C4H8O2,88.0524,107-92-6,3545,30772,C00001180
cpd:C00247,L-Sorbose,C6H12O6,180.0634,87-79-6,3546,48649,n.a.
cpd:C00248,Lipoamide,C8H15NOS2,205.0595,940-69-2,3547,17460,n.a.
cpd:C00249,Hexadecanoic acid,C16H32O2,256.2402,57-10-3,3548,15756,C00001233
cpd:C00250,Pyridoxal,C8H9NO3,167.0582,66-72-8,3549,17310,C00007509
cpd:C00251,Chorismate,C10H10O6,226.0477,617-12-9,3550,17333,C00000733
cpd:C00252,Isomaltose,C12H22O11,342.1162,499-40-1,3551,28189,C00018660
cpd:C00253,Nicotinate,C6H5NO2,123.032,59-67-6,3552,15940,C00000208
cpd:C00254,Prephenate,C10H10O6,226.0477,126-49-8,3553,84387,C00019632
cpd:C00255,Riboflavin,C17H20N4O6,376.1383,83-88-5,3554,17015,C00001552
cpd:C00256,(R)-Lactate,C3H6O3,90.0317,10326-41-7,3555,42111,C00019549
cpd:C00257,D-Gluconic acid,C6H12O7,196.0583,526-95-4,3556,33198,C00007303
cpd:C00258,D-Glycerate,C3H6O4,106.0266,473-81-4,3557,32398,C00001185
cpd:C00259,L-Arabinose,C5H10O5,150.0528,147-81-9,3558,17535,C00041349
cpd:C00261,Benzaldehyde,C7H6O,106.0419,100-52-7,3559,17169,C00034452
cpd:C00262,Hypoxanthine,C5H4N4O,136.0385,68-94-0,3560,17368,C00001502
cpd:C00263,L-Homoserine,C4H9NO3,119.0582,672-15-1,3561,15699,C00001366
cpd:C00264,3-Oxoacyl-CoA,C24H37N7O18P3SR,0,n.a,3562,15489,n.a.
cpd:C00265,Dithiothreitol,C4H10O2S2,154.0122,03/12/3483,3563,18320,n.a.
cpd:C00266,Glycolaldehyde,C2H4O2,60.0211,141-46-8,3564,17071,C00007457
cpd:C00267,alpha-D-Glucose,C6H12O6,180.0634,492-62-6,3565,17925,C00001122
cpd:C00268,Dihydrobiopterin,C9H13N5O3,239.1018,n.a,3566,n.a,n.a.
cpd:C00269,CDP-diacylglycerol,C14H19N3O15P2R2,0,n.a,3567,17962,n.a.
cpd:C00270,N-Acetylneuraminate,C11H19NO9,309.106,131-48-6,3568,17012,C00019584
cpd:C00272,Tetrahydrobiopterin,C9H15N5O3,241.1175,17528-72-2,3570,15372,C00018229
cpd:C00273,5-Dehydro-D-fructose,C6H10O6,178.0477,n.a,3571,17011,n.a.
cpd:C00275,D-Mannose 6-phosphate,C6H13O9P,260.0297,n.a,3572,17369,n.a.
cpd:C00279,D-Erythrose 4-phosphate,C4H9O7P,200.0086,585-18-2,3574,48153,C00007472
cpd:C00280,Androstenedione,C19H26O2,286.1933,63-05-8,3575,16422,C00003644
cpd:C00282,Hydrogen,H2,2.0157,1333-74-0,3577,18276,n.a.
cpd:C00283,Hydrogen sulfide,H2S,33.9877,04/06/7783,3578,16136,C00007266
cpd:C00284,EDTA,C10H16N2O8,292.0907,60-00-4,3579,42191,n.a.
cpd:C00286,dGTP,C10H16N5O13P3,506.9957,2564-35-4,3581,16497,C00019346
cpd:C00288,HCO3-,HCO3,60.9926,71-52-3,3583,17544,n.a.
cpd:C00290,Fibrin,n.a.,0,9001-31-4,3584,5054,n.a.
cpd:C00291,Nickel,Ni,57.9353,7440-02-0,3585,28112,n.a.
cpd:C00292,Aniline,C6H7N,93.0578,62-53-3,3586,17296,n.a.
cpd:C00294,Inosine,C10H12N4O5,268.0808,58-63-9,3588,17596,C00019692
cpd:C00295,Orotate,C5H4N2O4,156.0171,65-86-1,3589,16742,C00007300
cpd:C00296,Quinate,C7H12O6,192.0634,77-95-2,3590,17521,C00001201
cpd:C00297,Sulfide,SR2,0,n.a,3591,16385,n.a.
cpd:C00298,Trypsin,n.a.,0,07/07/9002,3592,9765,n.a.
cpd:C00299,Uridine,C9H12N2O6,244.0695,58-96-8,3593,16704,C00019674
cpd:C00300,Creatine,C4H9N3O2,131.0695,57-00-1,3594,16919,n.a.
cpd:C00301,ADP-ribose,C15H23N5O14P2,559.0717,n.a,3595,16960,n.a.
cpd:C00302,Glutamate,C5H9NO4,147.0532,617-65-2,3596,18237,n.a.
cpd:C00303,Glutamine,C5H10N2O3,146.0691,03/04/6899,3597,28300,n.a.
cpd:C00304,Kanamycin,C18H33N3O10(R1)(R2),0,08/07/8063,3598,6104,n.a.
cpd:C00305,Magnesium cation,Mg,23.985,22537-22-0,3599,18420,n.a.
cpd:C00306,Bradykinin,C50H73N15O11,1059.5614,58-82-2,3600,3165,n.a.
cpd:C00307,CDP-choline,C14H26N4O11P2,488.1073,987-78-0,3601,16436,C00007231
cpd:C00308,Canavanine,C5H12N4O3,176.0909,543-38-4,3602,609827,C00001347
cpd:C00309,D-Ribulose,C5H10O5,150.0528,488-84-6,3603,17173,C00001131
cpd:C00310,D-Xylulose,C5H10O5,150.0528,551-84-8,3604,17140,C00019684
cpd:C00311,Isocitrate,C6H8O7,192.027,320-77-4,3605,30887,n.a.
cpd:C00312,L-Xylulose,C5H10O5,150.0528,527-50-4,3606,17399,n.a.
cpd:C00313,Oxalyl-CoA,C23H36N7O19P3S,839.1,n.a,3607,15535,n.a.
cpd:C00314,Pyridoxine,C8H11NO3,169.0739,65-23-6,3608,16709,C00001551
cpd:C00315,Spermidine,C7H19N3,145.1579,124-20-9,3609,16610,C00001431
cpd:C00317,Amylopectin,C30H52O26,828.2747,9037-22-3,3611,28057,n.a.
cpd:C00318,L-Carnitine,C7H15NO3,161.1052,541-15-1,3612,16347,n.a.
cpd:C00319,Sphingosine,C18H37NO2,299.2824,123-78-4,3613,16393,n.a.
