annotation	cutoff.trusted	cutoff.noise	type	ec
TIGR00153	104.3	43.9	hypoth_equivalog	
TIGR00154	138.7	105.2	equivalog	2.7.1.148
TIGR00155	260.35	214.55	subfamily	
TIGR00156	108.15	34.45	hypoth_equivalog	
TIGR00157	100	60	equivalog	3.6.-.-
TIGR00158	58.6	26.05	equivalog	
TIGR00159	188.8	143.5	hypoth_equivalog	
TIGR00160	146.9	71.55	equivalog	4.2.3.3
TIGR00161	199.25	117.35	hypoth_equivalog	
TIGR00162	200	130	hypoth_equivalog	
TIGR00163	111.75	53.25	equivalog	4.1.1.65
TIGR00164	144.75	56.85	hypoth_equivalog	
TIGR00165	38.75	17.85	equivalog	
TIGR00166	42.9	20.5	equivalog	
TIGR00167	215.6	137.5	subfamily	
TIGR00168	69.25	57.9	equivalog	
TIGR00169	353.2	253.75	equivalog	1.1.1.85
TIGR00170	560.25	226.8	equivalog_domain	4.2.1.33
TIGR00171	116.25	81.9	equivalog_domain	4.2.1.33
TIGR00172	117.15	85.65	equivalog	
TIGR00173	244.2	183.05	equivalog	2.2.1.9
TIGR00174	148.65	112.65	equivalog	2.5.1.75
TIGR00175	432.4	323.75	equivalog	1.1.1.41
TIGR00176	76.2	33.25	equivalog	
TIGR00177	85.35	56.3	domain	
TIGR00178	950	100	equivalog	1.1.1.42
TIGR00179	144.5	31.5	equivalog	1.3.1.98
TIGR00180	58.45	39.8	domain	
TIGR00181	490.55	382.1	equivalog	3.4.24.-
TIGR00182	243.4	177.85	equivalog	
TIGR00183	567.3	219.05	equivalog	1.1.1.42
TIGR00184	395.55	59.25	equivalog	6.3.4.4
TIGR00185	190.6	88.85	equivalog	2.1.1.207
TIGR00186	160.15	149.1	hypoth_equivalog	
TIGR00187	156.6	116.95	equivalog	2.5.1.9
TIGR00188	38.35	16.85	equivalog	3.1.26.5
TIGR00189	292.85	45.3	equivalog	3.1.2.-
TIGR00190	460	75	equivalog	4.1.99.17
TIGR00191	168.25	161.15	equivalog	2.7.1.39
TIGR00192	90.3	40.65	equivalog_domain	3.5.1.5
TIGR00193	82.3	31.45	equivalog_domain	3.5.1.5
TIGR00194	285.45	266.1	equivalog	3.1.25.-
TIGR00195	182.55	83.2	equivalog	3.1.11.2
TIGR00196	129.85	97.7	hypoth_equivalog_domain	
TIGR00197	88.6	64.35	hypoth_equivalog_domain	
TIGR00198	770.25	427.7	equivalog	1.11.1.6
TIGR00199	68.9	48.95	subfamily_domain	3.5.-.-
TIGR00200	243.15	194.15	domain	
TIGR00201	233.55	66.4	subfamily	
TIGR00202	70.1	31.1	equivalog	
TIGR00203	117.3	88.55	equivalog	1.10.3.-
TIGR00204	465.95	222.45	equivalog	2.2.1.7
TIGR00205	48.1	33	equivalog	
TIGR00206	129.75	128.65	equivalog	
TIGR00207	226.7	159.7	equivalog	
TIGR00208	53.75	32.6	equivalog	
TIGR00209	102.1	89.25	equivalog	2.7.7.10
TIGR00210	310.75	19.6	equivalog	
TIGR00211	321.95	296.9	equivalog_domain	6.1.1.14
TIGR00212	164	127.1	equivalog	2.5.1.61
TIGR00213	149.6	93	subfamily	
TIGR00214	83.55	64.65	equivalog	2.3.1.181
TIGR00215	190.25	176.15	equivalog	2.4.1.182
TIGR00216	187.85	103.6	equivalog	1.17.1.2
TIGR00217	205.65	155.4	equivalog	2.4.1.25
TIGR00218	116.2	59.15	equivalog	5.3.1.8
TIGR00219	92.75	64.55	equivalog	
TIGR00220	71	43.3	equivalog	
TIGR00221	225.65	167.2	equivalog	3.5.1.25
TIGR00222	207.55	96.9	equivalog	2.1.2.11
TIGR00223	106	83.7	equivalog	4.1.1.11
TIGR00224	590.05	290.7	equivalog	4.1.1.49
TIGR00225	218.6	98.15	subfamily	3.4.21.-
TIGR00227	150.15	82.35	domain	3.5.4.-
TIGR00228	100.65	47.5	equivalog	3.1.22.4
TIGR00229	22.9	22.1	domain	
TIGR00230	126.45	86	equivalog	
TIGR00231	42.5	35.2	domain	
TIGR00232	682.25	621.15	equivalog	2.2.1.1
TIGR00233	176.75	139.15	equivalog	6.1.1.2
TIGR00234	113.8	82.25	equivalog	6.1.1.1
TIGR00235	220.3	173.45	equivalog	2.7.1.48
TIGR00236	210.15	69.95	equivalog	5.1.3.14
TIGR00237	180	100	equivalog	3.1.11.6
TIGR00238	199.2	115.45	subfamily	
TIGR00239	770	618.85	equivalog	1.2.4.2
TIGR00240	148.55	68.1	equivalog	2.1.3.2
TIGR00241	125.4	107.95	domain	
TIGR00242	98.35	46.1	equivalog	
TIGR00243	315.7	224.55	equivalog	1.1.1.267
TIGR00244	124.65	86.7	equivalog	
TIGR00245	164.8	87.75	hypoth_equivalog	
TIGR00246	149.7	49.1	equivalog	2.1.1.177
TIGR00247	103.4	93.65	hypoth_equivalog	
TIGR00249	74.5	54.4	equivalog	3.1.3.-
TIGR00250	43.25	38.45	hypoth_equivalog	
TIGR00251	53.5	33.5	hypoth_equivalog	
TIGR00252	69.05	57.4	hypoth_equivalog	
TIGR00253	78.5	51.5	hypoth_equivalog	
TIGR00254	37.4	33.3	domain	
TIGR00255	167.5	44.05	hypoth_equivalog	
TIGR00256	101.5	57.15	equivalog	3.6.1.-
TIGR00257	167.95	117.35	hypoth_equivalog	
TIGR00258	117.1	69.15	hypoth_equivalog	
TIGR00259	153.4	106.15	subfamily	
TIGR00260	167.1	108	equivalog	4.2.3.1
TIGR00261	178.35	145.1	subfamily	
TIGR00262	102.35	100.35	equivalog	4.2.1.20
TIGR00263	392.45	220.75	equivalog	4.2.1.20
TIGR00264	98.75	62.95	hypoth_equivalog	
TIGR00266	96.6	86.8	hypoth_equivalog	
TIGR00267	156.95	32.05	hypoth_equivalog	
TIGR00268	166.5	104.75	hypoth_equivalog	
TIGR00269	62.75	42.05	hypoth_equivalog	
TIGR00270	60.35	46.5	hypoth_equivalog	
TIGR00271	146.5	66.65	domain	
TIGR00272	184.05	146.75	equivalog	
TIGR00273	444.8	254.85	equivalog	
TIGR00274	302	160.45	equivalog	4.2.1.126
TIGR00275	183.8	130.6	subfamily	
TIGR00276	200	195	equivalog	1.-.-.-
TIGR00277	27.6	27.5	domain	
TIGR00278	57.25	44.5	equivalog	
TIGR00279	223.55	101.7	equivalog	
TIGR00280	95.8	65.7	equivalog	
TIGR00281	89.2	65.1	equivalog	
TIGR00282	254.15	147.4	hypoth_equivalog	
TIGR00283	82	47.65	equivalog	3.1.1.29
TIGR00284	256.65	102.6	hypoth_equivalog	
TIGR00285	88.25	26.25	equivalog	
TIGR00286	106.95	43.5	equivalog	4.1.1.19
TIGR00287	71.7	66	equivalog	3.1.-.-
TIGR00288	178.45	28.1	hypoth_equivalog	
TIGR00289	249.5	126.35	hypoth_equivalog	
TIGR00290	114.6	69.35	domain	
TIGR00291	126.55	104.45	equivalog	
TIGR00292	148.3	114.85	equivalog	
TIGR00293	53.9	43	equivalog	
TIGR00294	100.35	96.1	hypoth_equivalog	3.5.4.-
TIGR00295	172.35	87.15	hypoth_equivalog	
TIGR00296	91.05	61.7	hypoth_equivalog	
TIGR00297	205.85	60.15	hypoth_equivalog	
TIGR00298	175.05	119.7	equivalog	3.1.3.71
TIGR00299	242.7	183.6	hypoth_equivalog	
TIGR00300	410.8	229.5	hypoth_equivalog	
TIGR00302	39	37.5	equivalog	
TIGR00303	229.95	175.85	hypoth_equivalog	
TIGR00304	62.65	29.75	hypoth_equivalog	
TIGR00305	29.15	28.85	equivalog	
TIGR00306	264.5	95.5	subfamily	5.4.2.12
TIGR00307	78.25	73.8	equivalog	
TIGR00308	280.65	153.9	equivalog	2.1.1.-
TIGR00309	72.25	60.25	subfamily	3.6.3.14
TIGR00310	78.3	74.55	domain	
TIGR00311	137.65	73.1	hypoth_equivalog	
TIGR00312	166.9	108.35	equivalog	
TIGR00313	309.9	237.2	equivalog	6.3.5.10
TIGR00314	781.3	384	equivalog	1.2.99.2
TIGR00315	101.2	56.4	equivalog	1.2.99.2
TIGR00316	355.95	355.55	equivalog	1.2.99.2 2.3.1.169
TIGR00317	110	87.1	equivalog	2.7.8.26
TIGR00318	57.95	31.4	hypoth_equivalog	
TIGR00319	36.05	24.1	domain	
TIGR00320	146.9	57.1	equivalog	
TIGR00321	304.25	79.75	equivalog	2.5.1.46
TIGR00322	35	25	domain	
TIGR00323	137.75	123.3	hypoth_equivalog	
TIGR00324	59.6	47.6	equivalog	4.6.1.16
TIGR00325	187.25	155	equivalog	3.5.1.-
TIGR00326	156.35	152.8	equivalog	3.5.4.26 1.1.1.193
TIGR00327	36.2	34.5	equivalog	
TIGR00328	349.25	332.2	equivalog	
TIGR00329	207.8	124.95	subfamily	
TIGR00330	259.3	213.35	equivalog	3.1.3.11
TIGR00331	197.2	119.75	equivalog	
TIGR00332	61.9	36.75	domain	
TIGR00333	74.65	53.6	equivalog	
TIGR00334	110.65	61.85	equivalog	3.1.26.8
TIGR00335	143.5	81.1	equivalog	
TIGR00336	106.8	69.65	equivalog_domain	2.4.2.10
TIGR00337	462.75	289.55	equivalog	6.3.4.2
TIGR00338	144.15	105	equivalog	3.1.3.3
TIGR00339	322.95	181.8	equivalog_domain	2.7.7.4
TIGR00340	117.95	93.25	hypoth_equivalog	
TIGR00341	94.75	92.3	hypoth_equivalog	
TIGR00342	264.5	166.1	equivalog_domain	2.8.1.4
TIGR00343	438.45	152.25	equivalog	
TIGR00344	457.05	420	equivalog	6.1.1.7
TIGR00345	135	120	subfamily	3.6.1.-
TIGR00346	332.35	49.7	equivalog	
TIGR00347	83.3	56.05	equivalog	6.3.3.3
TIGR00348	284.55	213.45	subfamily	3.1.21.3
TIGR00350	62.3	49.25	domain	
TIGR00351	105.55	62.1	equivalog	1.7.99.4
TIGR00353	569.05	173.8	equivalog	
TIGR00354	702.15	544.3	equivalog	2.7.7.7
TIGR00355	528	462.65	equivalog	2.1.2.3 3.5.4.10
TIGR00357	113.05	84.2	equivalog_domain	1.8.4.-
TIGR00358	368.6	139	superfamily	3.1.13.1
TIGR00359	434.45	297.7	equivalog	2.7.1.69
TIGR00360	36.5	36.5	subfamily_domain	
TIGR00361	190.05	164.2	equivalog	
TIGR00362	343.9	184.65	equivalog	
TIGR00363	228.85	90.4	subfamily	
TIGR00364	150.3	86.2	equivalog	
TIGR00365	117.1	85.7	equivalog	
TIGR00366	575.75	215.8	hypoth_equivalog	
TIGR00367	179.65	150.3	hypoth_equivalog	
TIGR00368	362.4	271.7	hypoth_equivalog	
TIGR00369	36.6	29.3	domain	
TIGR00370	145.55	74.75	hypoth_equivalog	
TIGR00372	65	59.9	equivalog	
TIGR00373	149.5	61.7	equivalog	
TIGR00374	43.2	33.6	superfamily	
TIGR00375	326.6	110.4	hypoth_equivalog	
TIGR00376	348.9	276.05	hypoth_equivalog	3.6.4.12
TIGR00377	53.45	27.2	superfamily	
TIGR00378	211.15	37.3	equivalog	
TIGR00379	261.4	152.4	equivalog	6.3.1.-
TIGR00380	165.9	148.2	equivalog	6.3.1.10
TIGR00381	252.9	197.55	equivalog	1.2.99.2
TIGR00382	370.75	178.75	equivalog	
TIGR00383	200.75	127.55	equivalog	
TIGR00384	88	78.25	subfamily	
TIGR00385	123.15	82	subfamily	
TIGR00387	567.9	311.85	equivalog	
TIGR00388	361.45	191.45	equivalog_domain	6.1.1.14
TIGR00389	243.3	190.9	equivalog	6.1.1.14
TIGR00390	362.45	225.25	equivalog	
TIGR00391	179.5	91	superfamily	
TIGR00392	621.4	560	equivalog	6.1.1.5
TIGR00393	203.7	137.15	subfamily	
TIGR00394	614.4	388.15	equivalog_domain	2.7.1.69
TIGR00395	648.5	373.75	equivalog	6.1.1.4
TIGR00396	548.4	335.3	equivalog	6.1.1.4
TIGR00397	178.85	83.15	subfamily	
TIGR00398	336.35	216.4	equivalog_domain	6.1.1.10
TIGR00399	116.65	64.45	equivalog_domain	6.1.1.10
TIGR00400	232.75	179.75	equivalog	
TIGR00401	108.1	71.15	equivalog_domain	1.8.4.11
TIGR00402	102.2	59.85	equivalog	
TIGR00403	302.35	168.65	equivalog	1.6.5.3
TIGR00405	69.95	49.85	equivalog	
TIGR00406	183.15	112.05	equivalog	2.1.1.-
TIGR00407	317.45	240.45	equivalog_domain	1.2.1.41
TIGR00408	437	251.35	equivalog	6.1.1.15
TIGR00409	306.7	253.65	equivalog	6.1.1.15
TIGR00410	236	95.6	subfamily	2.7.1.69
TIGR00411	92.75	64.7	hypoth_equivalog	
TIGR00412	73.5	55.6	hypoth_equivalog	
TIGR00413	82.15	38.55	subfamily	
TIGR00414	301.65	225.6	equivalog	6.1.1.11
TIGR00415	489.55	166.6	equivalog	6.1.1.11
TIGR00416	403.05	297.4	equivalog	
TIGR00417	249.55	147.4	equivalog	2.5.1.16
TIGR00418	383.65	288.75	equivalog	6.1.1.3
TIGR00419	130.6	113.5	equivalog	5.3.1.1
TIGR00420	236.95	185.85	equivalog	2.1.1.61
TIGR00421	108.9	69.3	subfamily	4.1.1.-
TIGR00422	612.1	581.35	equivalog	6.1.1.9
TIGR00423	260.25	188.9	subfamily	
TIGR00424	553.2	347.35	equivalog	
TIGR00425	238.15	169.6	hypoth_equivalog	5.4.99.-
TIGR00426	53.1	34.5	subfamily_domain	
TIGR00427	99.2	86.75	hypoth_equivalog	
TIGR00430	306.75	213.65	equivalog	2.4.2.29
TIGR00431	151.45	58.1	equivalog	5.4.99.25
TIGR00432	350	200	equivalog	2.4.2.48
TIGR00433	230	210	equivalog	2.8.1.6
TIGR00434	165.1	95.95	subfamily	1.8.4.8
TIGR00435	340	266.85	equivalog	6.1.1.16
TIGR00436	116.25	95.25	equivalog	
TIGR00437	315.65	246.65	equivalog	
TIGR00438	300.15	117	equivalog	2.1.1.166
TIGR00439	402.25	234.6	equivalog	
TIGR00440	425.8	343	equivalog	6.1.1.18
TIGR00441	209.45	176.2	equivalog	5.3.1.28
TIGR00442	286.75	246.9	equivalog	6.1.1.21
TIGR00443	271.65	251.6	equivalog	
TIGR00444	148.3	130.45	subfamily	
TIGR00445	192.05	169.5	equivalog	2.7.8.13
TIGR00446	210.45	190.2	subfamily_domain	2.1.1.-
TIGR00447	143.15	87.2	equivalog	3.1.1.29
TIGR00448	124.2	107.75	equivalog	2.7.7.6
TIGR00449	47.6	22.35	superfamily	2.4.2.-
TIGR00450	252.6	200.7	equivalog	3.6.-.-
TIGR00451	27	26	domain	
TIGR00452	275	150	equivalog	2.1.1.-
TIGR00453	181.3	87.2	equivalog_domain	2.7.7.60
TIGR00454	174.7	115.85	hypoth_equivalog	
TIGR00455	138.7	133.35	equivalog_domain	2.7.1.25
TIGR00456	261.65	193.5	equivalog	6.1.1.19
TIGR00457	342.6	307.25	equivalog	6.1.1.22
TIGR00458	368.4	357.25	equivalog	6.1.1.23
TIGR00459	373.85	317.5	equivalog	6.1.1.-
TIGR00460	201.5	178.75	equivalog	2.1.2.9
TIGR00461	859.2	664.7	equivalog	1.4.4.2
TIGR00462	286.9	279.15	equivalog	
TIGR00463	401.75	384.75	equivalog	6.1.1.17
TIGR00464	289.95	260.6	equivalog	6.1.1.17
TIGR00465	226.15	185	equivalog	1.1.1.86
TIGR00466	155.2	113.75	equivalog	2.7.7.38
TIGR00467	147.55	134.15	equivalog	6.1.1.6
TIGR00468	237.45	190.65	equivalog	6.1.1.20
TIGR00469	258.35	157.15	equivalog	6.1.1.20
TIGR00470	380.65	307.85	equivalog	6.1.1.27
TIGR00471	282.65	252.4	equivalog	6.1.1.20
TIGR00472	402.65	302.8	equivalog	6.1.1.20
TIGR00473	107	84	equivalog	2.7.8.8
TIGR00474	267.9	239.95	equivalog	2.9.1.1
TIGR00475	242.25	229	equivalog	
TIGR00476	125	120	equivalog	2.7.9.3
TIGR00477	219.5	142.1	equivalog	
TIGR00478	185.8	118.6	subfamily	
TIGR00479	183.55	159.95	equivalog	2.1.1.-
TIGR00481	57.75	51	hypoth_equivalog	
TIGR00482	112.45	63.85	equivalog	2.7.7.18
TIGR00483	540.1	401.1	equivalog	
TIGR00484	659.4	215.15	equivalog	
TIGR00485	522.4	135.3	equivalog	
TIGR00486	130.55	107.15	hypoth_equivalog	
TIGR00487	424.4	354.6	equivalog	
TIGR00488	70.15	62	hypoth_equivalog	
TIGR00489	61.2	41.45	equivalog	
TIGR00490	738.45	346.65	equivalog	
TIGR00491	554.75	393.05	equivalog	
TIGR00492	168	129.9	equivalog	5.1.1.1
TIGR00493	308.6	59.2	equivalog	3.4.21.92
TIGR00494	80.45	50.6	hypoth_equivalog	
TIGR00495	430.05	215.85	hypoth_equivalog	
TIGR00496	149.1	93.4	equivalog	
TIGR00497	242.75	139.2	equivalog	2.1.1.72
TIGR00498	110.95	96	equivalog	3.4.21.88
TIGR00499	427.6	334.35	equivalog	6.1.1.6
TIGR00500	171.35	130.85	equivalog	3.4.11.18
TIGR00501	222.65	184.6	equivalog	3.4.11.18
TIGR00502	236.9	130.85	equivalog	3.5.99.6
TIGR00503	466.95	327.25	equivalog	
TIGR00504	201.75	113.65	equivalog	3.4.19.3
TIGR00505	205.85	98.5	equivalog_domain	3.5.4.25
TIGR00506	177.45	102.1	equivalog_domain	4.1.99.12
TIGR00507	200.2	124.5	equivalog_domain	1.1.1.25
TIGR00508	405	395	equivalog	2.6.1.62
TIGR00509	1017.55	232.15	subfamily	
TIGR00510	310.25	187.3	equivalog	2.8.1.8
TIGR00511	314.1	246.1	equivalog	5.3.1.-
TIGR00512	279	234.35	equivalog	5.3.1.23
TIGR00513	319.3	171.15	equivalog	6.4.1.2
TIGR00514	626.5	550.45	equivalog	6.3.4.14
TIGR00515	317.45	177	equivalog	6.4.1.2
TIGR00516	59.8	35.25	equivalog_domain	2.7.8.7
TIGR00517	70.45	26.4	equivalog	
TIGR00518	391.85	173.55	equivalog	1.4.1.1
TIGR00519	260.5	190.1	subfamily	3.5.1.1
TIGR00520	314.3	211.35	subfamily	3.5.1.1
TIGR00521	219.7	211.1	equivalog	4.1.1.36 6.3.2.5
TIGR00522	114.3	113.75	equivalog	2.1.1.98
TIGR00523	102.9	30.95	equivalog	
TIGR00524	185.85	142.6	subfamily	
TIGR00525	72.15	23.4	equivalog	4.1.2.25
TIGR00526	45.05	35.65	domain	
TIGR00527	115.85	96.9	equivalog	
TIGR00528	235.85	176.05	equivalog	2.1.2.10
TIGR00529	378.4	108.15	hypoth_equivalog	
TIGR00530	102.95	44.3	subfamily_domain	2.3.1.51
TIGR00531	115.2	92.85	equivalog	
TIGR00532	259.95	71.45	equivalog	1.1.1.88
TIGR00533	441.8	204.7	equivalog_domain	1.1.1.34
TIGR00534	256.25	93.75	equivalog	
TIGR00535	233.15	127.3	equivalog	4.1.1.50
TIGR00536	115.5	73.45	subfamily	
TIGR00537	87	78.1	hypoth_equivalog	
TIGR00538	324.95	261.65	equivalog	1.3.99.22
TIGR00539	205.4	179.65	hypoth_equivalog	1.3.99.22
TIGR00540	142	138	hypoth_equivalog	
TIGR00541	346.65	200.5	equivalog	4.1.1.22
TIGR00542	272.15	188.5	hypoth_equivalog	
TIGR00543	224.75	214.35	subfamily	5.4.4.2
TIGR00544	118.9	76.8	equivalog	2.4.99.-
TIGR00545	201.85	117.1	subfamily	
TIGR00546	132.9	87.05	equivalog	2.3.1.-
TIGR00547	48.6	33.95	equivalog	
TIGR00548	59.6	54.35	equivalog	
TIGR00549	163.05	139.4	equivalog	2.7.1.36
TIGR00550	262.9	106.85	equivalog	2.5.1.72
TIGR00551	452.75	425.6	equivalog	1.4.3.16
TIGR00552	63.65	57.5	equivalog_domain	6.3.1.5
TIGR00553	328.4	327.2	equivalog	2.6.1.85
TIGR00554	306.2	185.7	equivalog	2.7.1.33
TIGR00555	247.6	82.75	equivalog	2.7.1.33
TIGR00556	45.35	32	domain	
TIGR00557	290.35	252.75	equivalog	1.1.1.262
TIGR00558	150.1	128.85	equivalog	1.4.3.5
TIGR00559	192.75	154.25	equivalog	2.6.99.2
TIGR00560	109.1	72.3	equivalog	2.7.8.5
TIGR00561	444.4	258.6	equivalog	1.6.1.2
TIGR00562	97.85	73.05	equivalog	1.3.3.4
TIGR00563	269.05	188	equivalog	2.1.1.176
TIGR00564	517.7	516.2	equivalog	4.1.3.27
TIGR00565	494.65	341.1	equivalog	4.1.3.27
TIGR00566	121.05	95.25	subfamily	
TIGR00567	116.35	75.8	subfamily	3.2.2.-
TIGR00568	231.05	70.85	equivalog	
TIGR00569	250.35	103.9	subfamily	
TIGR00570	160.2	150.65	equivalog	
TIGR00571	114.85	91.7	subfamily	2.1.1.72
